하천명,하천등급,기점위치,기점경계위치,종점위치,종점경계위치,하천지정근거,하천고시일내역,본류명,1지류명,2지류명,하천연장(키로미터)
낙동강,국가,경북안동도산,토계삼각점(352.7m)단천 삼각점(648.1m)직선,경북고령우곡,"경북,경남도계",대통령령 제16535호,2013-03-15,낙동강,낙동강, ,262.34
반변천,국가,경북청송파천,용전천(지방) 합류점,경북안동용상,낙동강(국가) 합류점,대통령령 제16535호,2010-05-26,반변천,낙동강,반변천,36.04
내성천,국가,경북예천호명,고평교,경북예천굥궁,낙동강(국가) 합류점,대통령령 제16535호,2013-05-28,내성천,낙동강,내성천,27
감천,국가,경북김천조마구성,"조마면,구성면의 경계",경북구미선산,낙동강(국가) 합류점,대통령령 제16535호,2016-07-25,감천,낙동강,감천,39
금호강,국가,경북영천완산,고촌천(지방) 합류점,경북칠곡지천,"대구,경북도계",대통령령 제16535호,2011-02-28,금호강,낙동강,금호강,32.1
형산강,국가,경북경주율동,대천(지방) 합류점,경북포항송정,해안,대통령령 제16535호,2009-04-07,형산강,형산강,,36
낙동강,지방,경북봉화명호,낙동강(지방) 기점,경북안동도산,단천리813(임)번지선 낙동강(국가)합류점,대통령령 제16535호,2014-06-30,낙동강,,,19.3
낙동강,지방,경북봉화소천,"석포리944(천) 번지선(강원,경북도계)",경북봉화명호,낙동강(지방) 기점,경북536호 (1966-04-22 ),2014-06-30,낙동강,,,66.43
내성천,지방,경북영주문수,서천합류점,경북예천호명,직산리1059-12 번지선내성천(국가)기점,대통령령 제16535호,2014-07-17,낙동강,내성천,,23.4
내성천,지방,경북봉화물야,오전리 1251-1번지선,경북영주문수,서천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,,51.93
병성천,지방,경북상주공성,영오리 564-2(대) 번지선,경북상주도남,720-1(전) 번지선 낙동강(국가)합류점,대통령령 제16535호,2011-12-12,낙동강,병성천,,30
병성천,지방,경북상주공성,영오,경북상주청리,병성천(지방) 기점,경북536호 (1966-04-22 ),2011-12-12,낙동강,병성천,,
위천,지방,경북의성비안,쌍계천(지방) 합류점,경북상주중동,낙동강(국가) 합류점,대통령령 제16535호,2014-06-30,낙동강,위천,,
위천,지방,경북군위고로,낙전,경북의성비안,위천(지방) 기점,경북536호 (1966-04-22 ),2014-06-30,낙동강,위천,,117
영덕오십천,지방,경북영덕신양,오십천(지방하천)합류점,경북영덕강구,오포리574-2(도)동해안,대통령령 제16535호,2014-12-01,영덕오십천,,,16.3
영덕오십천,지방,경북영덕지품,기사리112(임) 기사저수지,경북영덕신양,오십천(지방하천)합류점,경북536호 (1966-04-22 ),2014-12-01,영덕오십천,,,22.39
회천,지방,경북고령운수,운수면.성주군 수륜면의경계,경북고령고령,객기리 낙동강 (국가) 합류점,대통령령 제16535호,2014-02-20,낙동강,회천,,24.47
송정리천,지방,경북봉화소천,대현,경북봉화소천,낙동강(지방) 합류점,경북536호 ,1966-04-22,낙동강,송정리천,,5.75
병오천,지방,경북봉화소천,대현(병오),경북봉화소천,송정리천(지방) 합류점,경북88호,1969-07-02,낙동강,송정리천,병오천,8
석포리천,지방,경북봉화소천,석포,경북봉화소천,낙동강(지방) 합류점,경북536호 ,1966-04-22,낙동강,석포리천,,12.5
골포천,지방,경북울진서,전곡(골포),경북울진서,낙동강(지방) 합류점,경북88호 ,1969-07-02,낙동강,골포천,,8
회룡천,지방,경북봉화소천,남회룡리 21-2(천) 번지선,경북봉화소천,산94(임) 낙동강(지방) 합류점,경북536호 (1966-04-22 ),2010-12-20,낙동강,회룡천,,16.3
현동천,지방,경북봉화소천,고선리 산198번지선,경북봉화소천,현동리 산70-7번지선 낙동강(지방) 합류점,경북536호 (1966-04-22 ),2019-10-24,낙동강,현동천,,12.28
덕신천,지방,경북봉화소천,두음리 95번지선 교량지점,경북봉화소천,두음리 616-1번지선 낙동강(지방) 합류점,경북88호 (1969-07-02 ),2019-10-24,낙동강,덕신천,,7.94
가천,지방,경북봉화소천,갈산리 220번지선,경북봉화소천,갈산리 1212번지선 낙동강(지방) 합류점,경북536호 (1966-04-22 ),2019-10-24,낙동강,가천,,8.01
재산천,지방,경북봉화재산,동면리 588번지선,경북봉화재산,갈산리 2200번지선 낙동강(지방) 합류점,경북536호 (1966-04-22 ),2018-04-23,낙동강,재산천,,17.56
운곡천,지방,경북봉화춘양,서벽리 969번지선 도력교 지점,경북봉화명호,도천리 208번지선 낙동강(지방) 합류점,경북536호 (1966-04-22 ),1994-03-12,낙동강,운곡천,,32.55
월노천,지방,경북봉화춘양,서벽(실두),경북봉화춘양,운곡천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,운곡천,월노천,6.5
법전천,지방,경북봉화법전,법전 320,경북봉화명호,도천 5 운곡천(지방) 합류점,경북88호 (1969-07-02 ),2013-01-14,낙동강,운곡천,법전천,7.02
도천,지방,경북봉화법전,풍전(갈방),경북봉화명호,운곡천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,운곡천,도천,7.5
관창리천,지방,경북봉화명호,관창,경북봉화명호,낙동강(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,관창리천,,6
고리천,지방,경북안동도산,태평(노루매),경북안동도산,낙동강(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,고리천,,5.5
토계천,지방,경북안동도산,온혜 101-1 고산교,경북안동도산,토계 468-3 낙동강(국가) 합류점,경북536호 (1966-04-22 ),2013-12-30,낙동강,토계천,,6.15
동계천,지방,경북안동예안,도촌리 594-3번지선,경북안동예안,인계리 818-1번지선 낙동강(국가)합류점,경북536호 (1966-04-22 ),2016-09-01,낙동강,동계천,,10.9
역계천,지방,경북안동녹전,신평리 1276번지선,경북안동녹전,사신리 1026-1번지선 낙동강(국가)합류점,경북536호 (1966-04-22 ),2016-09-01,낙동강,역계천,,9.15
구계천,지방,경북안동예안,구룡,경북안동예안,낙동강(국가) 합류점,경북536호 (1966-04-22 ),1966-04-22,낙동강,구계천,,8.5
와야천,지방,경북안동와룡,태리 895번지선,경북안동신야,상아동 370번지선 낙동강(국가)합류점,경북88호 (1969-07-02 ),2016-09-01,낙동강,와야천,,7.99
반변천,지방,경북영양일월,문암,경북안동길안,반변천(국가) 합류점,경북536호 (1966-04-22 ),2004-11-25,낙동강,반변천,,75
문상천,지방,경북영양수비,계동,경북영양일월,반변천(지방) 합류점,경북536호 (1966-04-22 ),2012-08-09,낙동강,반변천,문상천,7.22
장파천,지방,경북영양수비,송하,경북영양일월,반변천(지방) 합류점,경북536호 (1966-04-22 ),2004-11-25,낙동강,반변천,장파천,7.55
장군천,지방,경북영양일월,도곡,경북영양일월,반변천(지방) 합류점,경북536호 (1966-04-22 ),2004-08-23,낙동강,반변천,장군천,9.42
화원천,지방,경북영양영양,창상,경북영양영양,반변천(지방) 합류점,경북536호 (1966-04-22 ),1966-04-22,낙동강,반변천,화원천,8.5
창하천,지방,경북영덕창수,보림,경북영양영양,화원천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,반변천,화원천,5.3
동부천,지방,경북영양영양,황룡,경북영양영양,반변천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,반변천,동부천,5.5
동천,지방,경북영양청기,무진,경북영양입암,반변천(지방) 합류점,경북536호 (1966-04-22 ),2001-12-24,낙동강,반변천,동천,26.4
소청천,지방,경북영양청기,경북영양청기,경북영양청기,동천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,반변천,동천,5.5
신사천,지방,경북영양입암,경북영양입암,경북영양입암,반변천(지방) 합류점,경북88호 (1969-07-02 ),2011-07-14,낙동강,반변천,신사천,7.57
동산천,지방,경북영양입암,경북영양입암,경북영양입암,반변천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,반변천,동산천,6.2
화매천,지방,경북영양석보,화매,경북영양입암,반변천(지방) 합류점,경북536호 (1966-04-22 ),2003-10-23,낙동강,반변천,화매천,13.27
인지천,지방,경북영양석보,경북영양석보,경북영양석보,화매천(지방) 합류점,경북88호 (1969-07-02 ),2003-10-23,낙동강,반변천,화매천,8.17
송하천,지방,경북영양석보,경북영양석보,경북영양석보,옥계리(화매천 합류점),경북88호 (1969-07-02 ),2016-12-29,낙동강,반변천,화매천,7.18
서시천,지방,경북청송진보,괴정(갈평),경북청송진보,반변천(지방) 합류점,경북536호 (1966-04-22 ),1966-04-22,낙동강,반변천,서시천,13.5
용전천,지방,경북청송부남,중기(국동),경북청송파천,송강 반변천(지방.지방경계)합류점,경북536호 (1966-04-22 ),1993-12-28,낙동강,반변천,용전천,53
경암천,지방,경북청송부남,경북청송부남,경북청송부남,용전천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,반변천,용전천,6.5
노부천,지방,경북청송부남,경북청송부남,경북청송부남,용전천(지방) 합류점,경북536호 (1966-04-22 ),1966-04-22,낙동강,반변천,용전천,11.75
주산천,지방,경북청송부동,경북청송부동,경북청송부동,용전천(지방) 합류점,경북536호 (1966-04-22 ),2009-07-23,낙동강,반변천,용전천,11.75
신동천,지방,경북청송부동,경북청송부동,경북청송부동,주산천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,반변천,용전천,6.7
주방천,지방,경북청송부동,경북청송부동,경북청송부동,용전천(지방) 합류점,경북536호 (1966-04-22 ),2012-07-09,낙동강,반변천,용전천,6.09
구평천,지방,경북청송청송,경북청송청송,경북청송청송,용전천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,반변천,용전천,8
괘천,지방,경북청송청송,경북청송청송,경북청송청송,용전천(지방) 합류점,경북536호 (1966-04-22 ),1966-04-22,낙동강,반변천,용전천,5.25
신흥천,지방,경북청송파천,경북청송파천,경북청송파천,용전천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,반변천,용전천,7
