시도,계,산사태,급경사지,저수지-댐,자연재해위험개선지구,소규모위험시설,방재시설,태양광발전시설,시특법시설,침수취약시설,사업장,해안시설,여가시설,기타
서울특별시,581,162,38,0,7,8,45,0,49,254,17,0,1,0
전남광주통합특별시,872,310,87,41,54,11,28,45,9,176,8,25,53,25
부산광역시,418,106,66,1,19,1,0,0,11,159,6,12,1,36
대구광역시,196,65,21,0,2,0,0,1,0,86,2,0,3,16
인천광역시,96,10,26,0,0,0,0,0,0,52,0,3,0,5
대전광역시,259,16,24,3,4,4,0,0,21,185,0,0,0,2
울산광역시,221,44,2,0,11,10,0,0,0,123,0,21,5,5
세종특별자치시,74,13,15,2,2,1,0,0,0,41,0,0,0,0
경기도,1647,495,144,38,36,7,3,14,1,689,4,6,181,29
강원특별자치도,460,112,72,8,8,16,5,6,4,142,4,53,8,22
충청북도,392,111,15,21,29,19,0,4,2,158,5,0,13,15
충청남도,691,157,43,40,45,19,0,17,0,233,0,3,10,124
전북특별자치도,652,121,185,22,62,30,0,5,0,113,0,17,6,91
경상북도,919,471,118,6,34,0,2,17,2,186,4,1,17,61
경상남도,1831,475,176,63,132,90,1,65,37,298,110,54,180,150
제주특별자치도,92,0,9,0,0,0,0,0,0,4,0,73,0,6
