노선번호,교량명,소 재 지,교장(미터),총폭(미터),유효폭(미터),교고(미터),경간수,최대경간장,상부형식,하부형식,설계하중(DB),준공년도,관리주체
국지도20호,경정교,영덕 축산 경정,73.2,9,7.5,5,6,12.2,RC슬래브교,라멘식,18,1995,경상북도 북부건설사업소
국지도20호,오보교,영덕 영덕 오보,36,10,8.5,3.9,3,12,RC슬래브교,중력식,18,1988,경상북도 북부건설사업소
국지도20호,하저교,영덕 영덕 하저,40,8.5,7.5,2,3,13.4,RC슬래브교,라멘식,18,1991,경상북도 북부건설사업소
국지도28호,금계교(931),영주 풍기 금계,40,9,7.5,4.3,4,10,RC슬래브교,벽식,14,1985,경상북도 북부건설사업소
국지도28호,남대교,영주 부석 남대,26,7,6,4.7,2,13,RC슬래브교,벽식,24,1996,경상북도 북부건설사업소
국지도28호,남원대교,영주 풍기 금계,120,20,15,6,4,30,IPC거더교,기타,24,2016,경상북도 북부건설사업소
국지도28호,단곡천교,영주 단산 단곡,20,13,12,3,1,30.3,PSC빔교,기타,24,2016,경상북도 북부건설사업소
국지도28호,두봉교,영주 부석 소천,32,9,8,3.5,2,16,RC슬래브교,벽식,24,1998,경상북도 북부건설사업소
국지도28호,부석교,영주 부석 소천,39,7.7,6.2,3,3,13,RC슬래브교,벽식,18,2014,경상북도 북부건설사업소
국지도28호,옥대교,영주 단산 옥대,90,13,10,5,3,30,PSC빔교,기타,24,2016,경상북도 북부건설사업소
국지도28호,왕당천교,영주 순흥 태장,15,32,31,8,1,15,라멘교,라멘식,24,2017,경상북도 북부건설사업소
국지도28호,임곡1교,영주 부석 임곡,12,10,9,8.4,1,12,라멘교,기타,24,2000,경상북도 북부건설사업소
국지도28호,임곡2교,영주 부석 임곡,12,9.5,8.5,5.7,1,12,라멘교,기타,24,2000,경상북도 북부건설사업소
국지도28호,제월교,영주 순흥 제월,32,10.5,9.5,5,2,16,RC슬래브교,라멘식,24,2004,경상북도 북부건설사업소
국지도28호,주막교,영주 부석 남대,10,7,6,4.7,1,10,RC슬래브교,역T형식 교대,24,1996,경상북도 북부건설사업소
국지도28호,태장천교,영주 순흥 태장,15,28,27,8.5,1,15,라멘교,라멘식,24,2017,경상북도 북부건설사업소
국지도32호,내서1교,문경 농암 내서,70,7.5,6.5,6.5,5,14,RC슬래브교,T형 교각식,18,1989,경상북도 북부건설사업소
국지도32호,내서2교,문경 농암 내서,65,8,7,5.4,5,13,RC슬래브교,벽식,18,1991,경상북도 북부건설사업소
국지도32호,내서3교,문경 농암 내서,45,7.5,6,5.3,3,15,RTC형교,T형 교각식,18,1986,경상북도 북부건설사업소
국지도32호,내서4교,문경 농암 내서,45,7.5,6,7.8,3,15,RTC형교,T형 교각식,18,1988,경상북도 북부건설사업소
국지도32호,농암교,문경 농암 갈동,80,8,6.5,6.6,4,20,PSC I형교,T형 교각식,18,1981,경상북도 북부건설사업소
국지도32호,(신)감암교,상주 이안 아천,35,12.4,,,2,17.5,라멘교,벽식,24,2017,경상북도 북부건설사업소
국지도32호,(신)건천교,상주 이안 양범,60,12.4,,,2,30,PSC빔교,역T형,24,2017,경상북도 북부건설사업소
국지도32호,(신)장암교,상주 화북 장암,19,21.9,,,1,19,라멘교,벽식,24,2017,경상북도 북부건설사업소
국지도32호,병천교,상주 화북 용유,70,9,7.8,4.5,3,23.4,RC슬래브교,라멘식,24,1996,경상북도 북부건설사업소
국지도32호,송학교,상주 화북 입석,18,7.5,6,3,2,9,RC슬래브교,중력식,13.5,1981,경상북도 북부건설사업소
국지도32호,아실교,상주 이안 아천,7,24,,,1,7,라멘교,벽식,24,2017,경상북도 북부건설사업소
국지도32호,옥양교,상주 화북 입석,20,7.5,6,2.5,2,10,RC슬래브교,중력식,13.5,1981,경상북도 북부건설사업소
국지도32호,용유3교,상주 화북 용유,45.6,9.5,8,2.5,3,15.2,RC슬래브교,중력식,24,1994,경상북도 북부건설사업소
국지도32호,입석교,상주 화북 입석,19,12.4,11.5,2.2,1,19,기타,역T형식 교대,24,2009,경상북도 북부건설사업소
국지도32호,장암1교,상주 화북 장암,22,18.5,,,1,22,라멘교,벽식,24,2017,경상북도 북부건설사업소
국지도32호,화산교,문경 농암 화산,45,8,7,3.9,3,15,RC슬래브교,벽식,18,1990,경상북도 북부건설사업소
국지도49호,갈령1교,상주 화남 동관,60,12.4,11.5,1.7,2,30,PSC I형교,T형 교각식,24,2012,경상북도 북부건설사업소
국지도49호,갈령2교,상주 화남 동관,30,12.4,11.5,10,1,30,PSC I형교,역T형식 교대,24,2012,경상북도 북부건설사업소
국지도49호,갈령3교,상주 화북 상오,15,12.4,11.5,3.8,1,15,라멘교,기타,24,2012,경상북도 북부건설사업소
국지도49호,금계교(국지49),상주 모동 용호,100,9,8,4.3,7,25,RC중공슬래브교,라멘식,24,1994,경상북도 북부건설사업소
국지도49호,상오1교,상주 화북 상오,45,15.4,14.5,7.2,1,45,프리플렉스형교,역T형식 교대,24,2013,경상북도 북부건설사업소
