시군,펌프,위치(읍면),위치(리동),주용도,배수유역,모타(HPX대),펌프(mmX대),처리능력,유수지,계획,설치자,관리자,설치,비고
포항시,형산,,상도,내수,606.0,1250HP×3대 1100HP×2대,1500mm×5대,2130.0,105000,20.0,포항시장,포항시장,1993,형산강(국가)
포항시,공단,,제철,내수,580.0,215HP×5대 500HP×3대,900mm×5대 1650mm×3대,1624.0,180000,20.0,포항시장,포항시장,1994,구무천(소하천)
포항시,해도,,송도,내수,223.0,500HP×6대,1500mm×6대,2040.0,1731,20.0,포항시장,포항시장,2002,형산강(국가)
포항시,연일,연일,생지,내수,818.0,473HP×6대,1350mm×6대,1482.0,10000,20.0,포항시장,포항시장,2001,형산강(국가)
포항시,대송,대송,제네,내수,85.0,200HP×4대,1200mm×4대,564.0,5236,20.0,포항시장,포항시장,1994,칠성천(지방2급)
포항시,장성,,장성,내수,22.0,20HP×1대 25HP×1대 87HP×2대,200mm×1대 300mm×1대 400mm×1대 500mm×1대,70.0,313,20.0,포항시장,포항시장,1994,내수
포항시,송도,,송도,내수,43.0,50HP×3대,800mm×3대,270.0,218,20.0,포항시장,포항시장,2002,형산강(국가)
포항시,대도,,상대,내수,80.0,20HP×1대 30HP×1대 47HP×1대,200mm×1대 300mm×1대 150mm×1대,26.0,150,20.0,포항시장,포항시장,1990,내수
포항시,눌태리,구룡포,눌태,내수,56.0,160HP×3대 90HP×1대,900mm×3대 600mm×1대,340.0,2200,20.0,포항시장,포항시장,2006,눌태(소하천)
포항시,송도 내항,,송도,내수,8.0,50HP×1대 40HP×1대,600mm×1대 450mm×1대,60.0,180,20.0,포항시장,포항시장,2006,바다
포항시,창포,,창포,내수,3.0,100HP×2대 50HP×2대,500mm×2대 350mm×2대,85.0,180,20.0,포항시장,포항시장,2007,내수
포항시,학산,,학산,내수,6.0,100HP×2대,500mm×2대,70.0,0,20.0,포항시장,포항시장,2003,칠성천
포항시,구무천,,송내,내수,17.0,180HP×2대,1000mm×2대,262.0,0,30.0,포항시장,포항시장,2004,구무천
포항시,죽도2,,죽도,내수,223.0,270HP×3대 180HP×1대,1000mm×3대 800mm×1대,400.0,3500,20.0,포항시장,포항시장,2011,동빈내항
포항시,영흥,,죽도,내수,10.0,75HP×3대,500mm×3대,90.0,1100,20.0,포항시장,포항시장,2011,동빈내항
포항시,효자,,효자,내수,589.1,200HP×3대 100HP×1대 ,800mm×3대 600mm×1대,280.0,13200,30.0,포항시장,포항시장,2017,형산강(국가하천)
경주시,양동,강동,양동,내수,110.0,200HP×3대,1000mm×3대,360.0,2370,20.0,경주시장,경주시장,2009,형산강(국가하천)
경주시,성건1,,성건,내수,13.0,120HP×3대,700mm×3대,105.0,870,20.0,경주시장,경주시장,2011,형산강(국가하천)
경주시,성건2,,성건,내수,13.0,160HP×3대,700mm×3대,135.0,870,20.0,경주시장,경주시장,2011,형산강(국가하천)
경주시,호명,강동,호명,내수,122.0,415HP×2대 134HP×2대,1350mm×2대 700mm×2대,540.0,12700,20.0,경주시장,경주시장,2020,형산강(국가하천)
경주시,근계1,안강,근계,내수,2.0,20HP×1대 10HP×2대,300mm×1대,20.0,0,20.0,경주시장,경주시장,2020,칠평천(지방하천)
