시군구,유형,심한장애 남성,심한장애 여성,심하지 않은 장애 남성,심하지않은 장애 여성
포항시 남구,지체,745,359,2466,1733
포항시 남구,시각,95,119,535,372
포항시 남구,청각,220,206,1026,845
포항시 남구,언어,28,15,43,19
포항시 남구,지적,672,429,0,0
포항시 남구,뇌병변,319,246,294,200
포항시 남구,자폐성,186,32,0,0
포항시 남구,정신,196,180,10,6
포항시 남구,신장,274,157,38,42
포항시 남구,심장,17,13,3,1
포항시 남구,호흡기,42,11,3,1
포항시 남구,간,3,1,55,23
포항시 남구,안면,2,2,4,1
포항시 남구,장루.요루,5,0,47,30
포항시 남구,뇌전증,4,7,15,11
포항시 북구,지체,893,480,2821,2088
포항시 북구,시각,115,127,607,446
포항시 북구,청각,246,218,1228,1079
포항시 북구,언어,35,27,35,18
포항시 북구,지적,847,537,0,0
포항시 북구,뇌병변,430,338,337,211
포항시 북구,자폐성,237,57,0,0
포항시 북구,정신,296,264,14,5
포항시 북구,신장,340,181,96,57
포항시 북구,심장,29,20,6,2
포항시 북구,호흡기,36,16,2,1
포항시 북구,간,2,0,69,28
포항시 북구,안면,3,3,7,2
포항시 북구,장루.요루,7,5,55,30
포항시 북구,뇌전증,7,3,10,13
경주시,지체,850,475,3274,2332
경주시,시각,137,141,760,484
경주시,청각,335,296,1187,1293
경주시,언어,36,21,33,20
경주시,지적,857,595,0,0
경주시,뇌병변,387,345,384,225
경주시,자폐성,133,37,0,0
경주시,정신,299,288,8,10
경주시,신장,301,217,105,52
경주시,심장,6,4,6,4
경주시,호흡기,43,10,3,1
경주시,간,0,0,63,25
경주시,안면,3,3,4,8
경주시,장루.요루,2,3,51,31
경주시,뇌전증,5,1,13,9
김천시,지체,572,254,1848,1610
김천시,시각,88,69,417,326
김천시,청각,169,206,732,909
김천시,언어,20,12,29,6
김천시,지적,606,433,0,0
김천시,뇌병변,222,176,223,155
김천시,자폐성,93,30,0,0
김천시,정신,267,259,6,3
김천시,신장,141,101,50,41
김천시,심장,1,1,3,1
김천시,호흡기,16,8,4,0
김천시,간,0,0,40,15
김천시,안면,6,2,3,0
김천시,장루.요루,3,0,37,21
김천시,뇌전증,5,2,8,4
안동시,지체,735,429,2306,2075
