순번,연번,사고일자,소방접수시간,사고업체명,주소,시도,시군구,사고내용,사고원인,사고유형,제1사고물질,제2사고물질,제3사고물질,사망_직접,사망_기타,부상_직접,부상_기타,환경피해,재산피해
1,2014-001,2014-01-08,09:00:00,스미세이케미칼,경기 화성시 장안면 장안공단2길 11,경기,화성시,스미세이 케미칼 공장에서 디클로로실란 가스(10kg 추정) 누출,안전기준 미준수,누출,디클로로실란,,,0,0,1,0,,
2,2014-002,2014-01-22,06:20:00,AK켐텍(청양),충남 청양군 정산면 역촌리 625,충남,청양군,배관 청소작업 이후 잔류물 확인치 못해 밸브를 개방하여 잔류 슬러지(수산화나트륨 2%) 작업자 얼굴에 튀어 화상,안전기준 미준수,누출,수산화나트륨,,,0,0,2,0,,
3,2014-003,2014-02-08,23:00:00,일진LED,"경기 안산시 단원구 원시로 163, 일진엘이디",경기,안산시 단원구,폐산 이송배관이 파손되어 누출(3리터 가량)되어 흡착포를 이용하여 폐산 제거,시설 결함,누출,폐산,,,0,0,0,0,,
4,2014-004,2014-02-13,12:55:00,빙그레,경기 남양주시 도농동 344-3 빙그레 도농2공장,경기,남양주시,"건물 내 원인불명 폭발로 인해 구조물이 일부 붕괴, 지상에 있는 암모니아 배관이 파손되어 가스 누출",안전기준 미준수,누출,암모니아,,,1,0,3,0,,5000000
5,2014-005,2014-02-15,10:54:00,연성정밀,"경기 화성시 장안면 수정로 207, 연성정밀화학㈜ 옥외저장소",경기,화성시,의약용 화합물 및 항생물질 제조과정에서 발생한 폐톨루엔 및 아세톤을 옥외 저장소에 보관 중인 용기에 붓는 과정에서 정전기 발생으로 화재로 추정,안전기준 미준수,화재,톨루엔,아세톤,,0,0,0,0,,3000
6,2014-006,2014-02-15,11:35:00,한미화학공업,전북 익산시 영등동 제2산업단지,전북,익산시,황산알루미늄 제조공정 중 황산과 물이 반응하는 반응기(탱크)의 노후로 고압 발열반응을 견디지 못하고 상부가 파손,시설 결함,폭발,황산,,,0,0,0,0,,
7,2014-007,2014-02-22,15:08:00,정일에너지(롯데케미칼),울산 울주군 온산읍 산암리 435번지 온산항 사거리,울산,울주군,포크레인으로 지중에 스팀라인 설치 작업 중 약 2m 지하에 매설 된 8인치 유류(m-자일렌) 공급배관을 파손(2인치)하여 유류 누출사고 발생,안전기준 미준수,누출,m-자일렌,,,0,0,0,0,인근 부두로 유류유출,
8,2014-008,2014-02-25,14:20:00,이수화학,울산 남구 부곡동 156,울산,남구,불산  용액(97% 함량 순도 불산 95%+파라핀5%) 주입 배관 펌프에 금이가서 100L 누출,시설 결함,누출,플루오르화수소,,,0,0,0,0,,
9,2014-009,2014-03-04,09:12:00,GJ물류창고,경기 용인시 처인구 양지면 추계리 19-4,경기,용인시 처인구,지하 물류창고 내 냉동 콤프레샤에서 암모니아 가스 미량 누출,시설 결함,누출,암모니아,,,0,0,0,0,,
10,2014-010,2014-03-09,07:07:00,디에이피,경기 안성시 미양면 안성맞춤대로 474-22,경기,안성시,컴퓨터 기판제조 공장동 3층 동도금 공정라인 디-스미어 4호기에서 이상반응으로 인해 화재발생 추정,시설 결함,화재,황산,과산화수소,,0,0,0,0,,25672000
11,2014-011,2014-03-17,14:13:00,중앙바이오켐,충북 보은군 삼승면 우진리 532,충북,보은군,"200ℓ 폐드럼통에서 유증기와 냄새가 발생, 저장용기 하부 파손으로 약 1ℓ(추정) 폐액 누출사고",시설 결함,누출,폐액,,,0,0,0,0,,
12,2014-012,2014-03-25,18:30:00,에스에이치,대구  달서구 장기동 750-1,대구,달서구,20톤 폐산 보관탱크에 업체에서 수거한 폐산 약 2톤을 투입하는 과정에서 하부에 남아있던 슬러지(폐산)와 반응하여 흰색 기체 발생,안전기준 미준수,기타,폐산,,,0,0,0,0,,
13,2014-013,2014-03-27,15:49:00,LG화학(대전),대전  유성구 문지로 118 LG화학 기술연구원 특수파일럿동 실험실,대전,유성구,헥산을 분리하는 과정 중 내부에 정체되어있던 인화점이 낮은 가연성 헥산 가스가 환기시설 불량에 의해 폭발한 것으로 추정,시설 결함,폭발,헥산,,,0,0,0,0,,
14,2014-014,2014-03-28,08:00:00,알파켐,경기 수원시 영통구 신원로 261,경기,수원시 영통구,"폐아세트산을 철성분이 있는 폐기통에다 붓는 과정에서 철성분과 반응하여 폐기통이 일부 파손, 이로 인해 폐아세트산이 약 30-50리터 유출",시설 결함,누출,아세트산 납,,,0,0,0,0,,
15,2014-015,2014-03-29,20:30:00,신화인터텍,충남 천안시 동남구 병천면 매봉로 308,충남,천안시 동남구,"광학필름 등을 제조하는 생산라인에서 원인미상(정전기 추정)의 화재로 인해 공정내부에 남아있던 톨루엔, MEK 일부 소사",시설 결함,화재,톨루엔,MEK,,0,0,0,0,,180000
16,2014-016,2014-04-03,04:20:00,삼주,경기 시흥시 정왕동 1375-12,경기,시흥시,식각액 제조 과정 중 pH조절을 위해 차아염소산나트륨 투입과정에서 과반응으로 인해 차아염소산나트륨 약 50L 누출,시설 결함,누출,차아염소산나트륨,,,0,0,0,0,,
