번호,시설명,상세 시설명,소재지(도로명주소),수용가능 면적(제곱미터),수용가능 인원(명),데이터 기준일
1,구룡포읍행정복지센터,대회의실,경상북도 포항시 남구 구룡포읍 호미로133,315,121,2025-08-09
2,구룡포초등학교,강당,경상북도 포항시 남구 구룡포읍 구룡포길61,962,370,2025-08-09
3,포항과학기술고등학교,강당,경상북도 포항시 남구 구룡포읍 호미로341,784,301,2025-08-09
4,구룡포읍민복지회관,회관,경상북도 포항시 남구 구룡포읍 구룡포길65번길7,285,110,2025-08-09
5,구룡포석병청소년수련관,해맞이관,경상북도 포항시 남구 구룡포읍 명월길51,1442,136,2025-08-09
6,경북대학교 인재원,"인재원 학생동 객실 11개 (10인 1/ 14인 3/ 20인 7), 세미나실",경상북도 포항시 남구 구룡포읍 하정로153,588,265,2025-08-09
7,어업기술원(이웃어촌지원센터),교육장,경상북도 포항시 남구 구룡포읍 동해안로4287번길6,131,50,2025-08-09
8,늘푸른교회,아동부실,경상북도 포항시 남구 구룡포읍 구룡포길89-9,210,80,2025-08-09
9,해파랑문화쉼터,다목적강당,경상북도 포항시 남구 구룡포읍 호미로 202,400,154,2025-08-09
10,연일초등학교,강당,경상북도 포항시 남구 연일읍 철강로25번길40,660,254,2025-08-09
11,연일형산초등학교,다목적강당,경상북도 포항시 남구 연일읍 형산강남로 262,888,341,2025-08-09
12,유강1리 마을회관,마을회관,경상북도 포항시 남구 연일읍 자명로43-2,155,60,2025-08-09
13,연일읍민 복지회관,복지회관,경상북도 포항시 남구 연일읍 동문로67,330,127,2025-08-09
14,유강다목적 복지회관,복지회관,경상북도 포항시 남구 연일읍 유강길50,238,92,2025-08-09
15,택전2리 마을회관,마을회관,경상북도 포항시 남구 연일읍 원서길137번길23,166,64,2025-08-09
16,연일다목적체육관,체육관,경상북도 포항시 남구 연일읍 연일로 221,1054,405,2025-08-09
17,오천읍민복지회관,다목적홀,경상북도 포항시 남구 오천읍 냉천로320번길4-11,297,114,2025-08-09
18,구정초등학교,다목적강당,경상북도 포항시 남구 오천읍 구정길 11,1023,393,2025-08-09
19,문충초등학교,다목적교실,경상북도 포항시 남구 오천읍 정몽주로 49,445,171,2025-08-09
20,신흥중학교,강당,경상북도 포항시 남구 오천읍 장기로 1636,699,268,2025-08-09
21,오천초등학교,체육관,경상북도 포항시 남구 오천읍 정몽주로  572,1171,450,2025-08-09
22,문덕초등학교,다목적강당(한울관2층),경상북도 포항시 남구 오천읍 해병로 293,542,208,2025-08-09
23,오천고등학교,다목적강당,경상북도 포항시 남구 오천읍 해병로 293,1003,385,2025-08-09
