No,쉼터명칭,도로명주소,지번주소,시설유형,시설면적,이용가능인원(명),위도,경도
1,윗천전 경로당겸마을회관,경상북도 영덕군 영덕읍 천전길 102-3 ,경상북도 영덕군 영덕읍 천전리 216,노인시설,71.75,18,36.4147573,129.3590612
2,아랫천전 경로당겸마을회관,경상북도 영덕군 영덕읍 천전2길 6-5 ,경상북도 영덕군 영덕읍 천전리 322-1,노인시설,54.30,14,36.4099792,129.3586082
3,남산1리 경로당겸마을회관,경상북도 영덕군 영덕읍 남산2길 16,경상북도 영덕군 영덕읍 남산리 232-1,노인시설,99.00,25,36.3949858,129.3700139
4,남산2리 경로당겸마을회관,경상북도 영덕군 영덕읍 신공업단지길 104-3 ,경상북도 영덕군 영덕읍 남산리 608,노인시설,83.88,21,36.395606,129.36094
5,우곡리 경로당겸마을회관,경상북도 영덕군 영덕읍 서원길 21-2 ,경상북도 영덕군 영덕읍 우곡리 401-3,노인시설,99.40,25,36.4079941,129.3772771
6,화수1리 경로당겸마을회관,경상북도 영덕군 영덕읍 화수1길 12,경상북도 영덕군 영덕읍 화수리 406-5,노인시설,68.75,17,36.4353937,129.3797939
7,삼계리 경로당겸마을회관,경상북도 영덕군 영덕읍 시걸길 194,경상북도 영덕군 영덕읍 삼계리 273,노인시설,35.06,9,36.4315214,129.4025957
8,매정1리 경로당겸마을회관,경상북도 영덕군 영덕읍 매정길 225,경상북도 영덕군 영덕읍 매정리 83-8,노인시설,68.00,17,36.4476233,129.4217492
9,매정2리 경로당겸마을회관,경상북도 영덕군 영덕읍 샛터길 3,경상북도 영덕군 영덕읍 매정리 1013,노인시설,75.52,19,36.4577605,129.4078255
10,매정3리 경로당겸마을회관,경상북도 영덕군 영덕읍 매령길 270-14 ,경상북도 영덕군 영덕읍 매정리 244,노인시설,63.68,16,36.4549171,129.4227949
11,노물리 경로당겸마을회관,경상북도 영덕군 영덕읍 노물길 15-2 ,경상북도 영덕군 영덕읍 노물리 39,노인시설,58.32,15,36.4486261,129.4350627
12,오보리 경로당겸마을회관,경상북도 영덕군 영덕읍 오보길 16-23 ,경상북도 영덕군 영덕읍 오보리 137,노인시설,103.51,26,36.4441511,129.4327115
13,대탄리 경로당겸마을회관,경상북도 영덕군 영덕읍 대탄1길 12-23 ,경상북도 영덕군 영덕읍 대탄리 34-1,노인시설,75.24,19,36.436245,129.432396
14,화천1리 경로당겸마을회관,경상북도 영덕군 영덕읍 화천1길 35,경상북도 영덕군 영덕읍 화천리 236-11,노인시설,67.36,17,36.4658907,129.3795656
15,화천2리 경로당겸마을회관,경상북도 영덕군 영덕읍 화천3길 6-1 ,경상북도 영덕군 영덕읍 화천리 422-20,노인시설,67.20,17,36.466106,129.3615939
16,화천3리 경로당겸마을회관,경상북도 영덕군 영덕읍 화천길 373,경상북도 영덕군 영덕읍 화천리 545-1,노인시설,68.16,17,36.459861,129.352816
17,석리 경로당겸마을회관,경상북도 영덕군 영덕읍 영덕대게로 1531-5 ,경상북도 영덕군 영덕읍 석리 310,노인시설,102.90,26,36.4696035,129.4352425
18,대부리 경로당겸마을회관,경상북도 영덕군 영덕읍 영덕대게로 703-1 ,경상북도 영덕군 영덕읍 대부리 269-23,노인시설,125.60,31,36.4049075,129.4227161
19,창포리 경로당겸마을회관,경상북도 영덕군 영덕읍 영덕대게로 825-1 ,경상북도 영덕군 영덕읍 창포리 662,노인시설,177.88,44,36.4128257,129.4298563
20,화수2리 경로당겸 마을회관,경상북도 영덕군 영덕읍 미동길 15,경상북도 영덕군 영덕읍 화수리 577-1,노인시설,99.00,25,36.429307,129.3759191
21,구미리 경로당겸마을회관,경상북도 영덕군 영덕읍 구미1길 14,경상북도 영덕군 영덕읍 구미리 155-1,노인시설,69.00,17,36.433284,129.35448
22,화개1리 경로당겸마을회관,경상북도 영덕군 영덕읍 화개서길 16-3 ,경상북도 영덕군 영덕읍 화개리 169,노인시설,107.95,27,36.4197076,129.3673655
23,화개2리 경로당 겸 마을회관,경상북도 영덕군 영덕읍 경동로 8299,경상북도 영덕군 영덕읍 화개리 309-5,노인시설,97.75,24,36.4257863,129.3640995
24,남석1리 경로당겸마을회관,경상북도 영덕군 영덕읍 강변길 224,경상북도 영덕군 영덕읍 남석리 323-21,노인시설,78.66,20,36.4147261,129.3662156
25,남석2리 경로당겸마을회관,경상북도 영덕군 영덕읍 야성3길 8-14 ,경상북도 영덕군 영덕읍 남석리 185-1,노인시설,108.00,27,36.4132659,129.3669718
26,남석3리 경로당겸마을회관,경상북도 영덕군 영덕읍 남석1길 33,경상북도 영덕군 영덕읍 남석리 66-20,노인시설,66.00,17,36.4126872,129.3694576
27,덕곡1리 경로당겸마을회관,경상북도 영덕군 영덕읍 덕곡3길 11-16 ,경상북도 영덕군 영덕읍 덕곡리 176-8,노인시설,53.24,13,36.4168502,129.3699275
28,덕곡2리 경로당겸마을회관,경상북도 영덕군 영덕읍 덕곡길 51,경상북도 영덕군 영덕읍 덕곡리 128-3,마을회관,99.96,25,36.4151017,129.3766444
29,오포1리 경로당,경상북도 영덕군 강구면 오포5길 16,경상북도 영덕군 강구면 오포리 385-6,노인시설,44.00,11,36.3633861,129.3753877
30,오포1리 부인회,경상북도 영덕군 강구면 오포5길 16,경상북도 영덕군 강구면 오포리 385-6,노인시설,42.00,10,36.363366,129.3754303
31,오포2리 경로당,경상북도 영덕군 강구면 나비산길 22-3 ,경상북도 영덕군 강구면 오포리 607-3,노인시설,187.00,46,36.3557359,129.3793052
32,오포3리 경로담,경상북도 영덕군 강구면 신강구4길 11,경상북도 영덕군 강구면 오포리 3-90,노인시설,175.00,43,36.3566015,129.3867562
33,삼사리 경로당,경상북도 영덕군 강구면 강구해안길 25,경상북도 영덕군 강구면 삼사리 507-3,노인시설,205.00,51,36.3437158,129.3822404
34,피전리 경로당,경상북도 영덕군 강구면 삼사길 11-2 ,경상북도 영덕군 강구면 삼사리 676,노인시설,66.00,16,36.338258,129.381773
35,화전1리 경로당,경상북도 영덕군 강구면 화전길 11-10 ,경상북도 영덕군 강구면 화전리 산 55-1,노인시설,83.00,20,36.358564,129.3658529
36,화전2리,경상북도 영덕군 강구면 화전1길 5-10 ,경상북도 영덕군 강구면 화전리 414,노인시설,88.00,22,36.3625048,129.3571316
37,상직1리 경로당,경상북도 영덕군 강구면 직천3길 5,경상북도 영덕군 강구면 상직리 251-4,노인시설,77.00,19,36.3835193,129.3541491
38,상직2리 경로당,경상북도 영덕군 강구면 직천길 358-4 ,경상북도 영덕군 강구면 상직리 46-2,노인시설,53.00,13,36.3853599,129.3515251
39,상직3리,경상북도 영덕군 강구면 직천길 681,경상북도 영덕군 강구면 상직리 650,노인시설,55.00,13,36.401786,129.3292158
40,원직1리,경상북도 영덕군 강구면 직천길 150-6 ,경상북도 영덕군 강구면 원직리 194-2,노인시설,73.00,18,36.3763295,129.3687631
41,원직2리,경상북도 영덕군 강구면 직천2길 21,경상북도 영덕군 강구면 원직리 279,노인시설,71.00,17,36.3796274,129.3648142
42,소월리 경로당,경상북도 영덕군 강구면 소월1길 14,경상북도 영덕군 강구면 소월리 99-23,노인시설,121.00,30,36.3777519,129.3745187
43,금호1리,경상북도 영덕군 강구면 금호길 62-8 ,경상북도 영덕군 강구면 금호리 700-111,마을회관,284.00,71,36.3736051,129.3871445
44,금호1리,경상북도 영덕군 강구면 금호1길 20-5 ,경상북도 영덕군 강구면 금호리 424,노인시설,140.00,35,36.3854752,129.3845608
45,금호2리,경상북도 영덕군 강구면 금호2길 13,경상북도 영덕군 강구면 금호리 277-1,노인시설,106.00,26,36.3879182,129.3826738
46,금호3리,경상북도 영덕군 강구면 강영로 360,경상북도 영덕군 강구면 금호리 191-3,노인시설,83.00,20,36.391929,129.379727
47,하저리 경로당,경상북도 영덕군 강구면 하저길 423,경상북도 영덕군 강구면 하저리 396-5,노인시설,171.00,42,36.3901206,129.4067367
48,금진1리,경상북도 영덕군 강구면 번영길 231,경상북도 영덕군 강구면 금진리 99,마을회관,124.00,31,36.3773161,129.4020246
49,금진2리 경로당,경상북도 영덕군 강구면 영덕대게로 219,경상북도 영덕군 강구면 금진리 622,노인시설,29.00,7,36.3682495,129.3949548
50,강구리경노당,경상북도 영덕군 강구면 영덕대게로 55,경상북도 영덕군 강구면 강구리 343,노인시설,142.00,35,36.359731,129.3847028
51,강구부인경로당,경상북도 영덕군 강구면 영덕대게로 55,경상북도 영덕군 강구면 강구리 343,노인시설,109.00,27,36.3597228,129.3847185
52,강구2리,경상북도 영덕군 강구면 신흥길 28-8 ,경상북도 영덕군 강구면 강구리 89-4,노인시설,49.00,12,36.3669439,129.3853899
53,강구4리 경로당,경상북도 영덕군 강구면 영덕대게로 133-1 ,경상북도 영덕군 강구면 강구리 228-20,노인시설,33.00,8,36.3613147,129.3922644
54,화전1리,경상북도 영덕군 강구면 화전길 11-10 ,경상북도 영덕군 강구면 화전리 산 55-1,노인시설,62.00,15,36.3585681,129.3658315
55,장사리경로당,경상북도 영덕군 남정면 진불1길 33,경상북도 영덕군 남정면 장사리 374-1,노인시설,162.00,49,36.2857503,129.3734608
56,부경1리 경로당,경상북도 영덕군 남정면 부경길 7,경상북도 영덕군 남정면 부경리 285-1,노인시설,98.00,30,36.273263,129.378221
57,부경2리 경로당,경상북도 영덕군 남정면 부경길 22,경상북도 영덕군 남정면 부경리 265,노인시설,100.00,30,36.269669,129.375391
58,회1리 경로당,경상북도 영덕군 남정면 회리1길 20,경상북도 영덕군 남정면 회리 73-1,노인시설,77.00,23,36.2747338,129.3516267
59,회2리 경로당,경상북도 영덕군 남정면 회리2길 18,경상북도 영덕군 남정면 회리 295-2,노인시설,78.00,24,36.2752833,129.339283
60,양성리 경로당,경상북도 영덕군 남정면 양성길 42-32 ,경상북도 영덕군 남정면 양성리 174-2,노인시설,89.00,27,36.28292,129.366617
61,봉전1리 경로당,경상북도 영덕군 남정면 산정로 219,경상북도 영덕군 남정면 봉전리 147,노인시설,89.00,27,36.30029,129.360006
62,쟁암리 경로당,경상북도 영덕군 남정면 봉전쟁암길 384,경상북도 영덕군 남정면 쟁암리 83,노인시설,55.00,17,36.304796,129.325058
63,도천리 경로당,경상북도 영덕군 남정면 도천1길 20-1 ,경상북도 영덕군 남정면 도천리 158,노인시설,76.00,23,36.310352,129.352998
64,중화리 경로당,경상북도 영덕군 남정면 남정중화길 504,경상북도 영덕군 남정면 중화리 39-2,노인시설,55.00,17,36.354239,129.346302
65,남정리 경로당,경상북도 영덕군 남정면 남정1길 35,경상북도 영덕군 남정면 남정리 352-2,노인시설,155.00,47,36.345554,129.362405
66,남호리 경로당,경상북도 영덕군 남정면 남호길 8-1 ,경상북도 영덕군 남정면 남호리 77,노인시설,203.00,62,36.332129,129.378684
67,구계리 경로당,경상북도 영덕군 남정면 구계길 39-3 ,경상북도 영덕군 남정면 구계리 229,노인시설,148.00,45,36.320146,129.379178
68,원척리 경로당,경상북도 영덕군 남정면 원척1길 27-1 ,경상북도 영덕군 남정면 원척리 170,노인시설,59.00,18,36.299792,129.378784
69,부흥1리경로당,경상북도 영덕군 남정면 부흥1길 27,경상북도 영덕군 남정면 부흥리 98-11,노인시설,80.00,24,36.292063,129.376634
70,부흥2리 경로당,경상북도 영덕군 남정면 진불길 91,경상북도 영덕군 남정면 부흥리 201-17,노인시설,92.00,28,36.290167,129.373501
71,부흥3리 경로당,경상북도 영덕군 남정면 부흥길 34,경상북도 영덕군 남정면 부흥리 226-8,노인시설,58.00,18,36.291501,129.371518
72,매일2리,,경상북도 영덕군 달산면 매일리 559,노인시설,56.00,17,36.3772176,129.3035561
73,흥기1리,경상북도 영덕군 달산면 광산길 4,경상북도 영덕군 달산면 흥기리 249-1,노인시설,49.00,15,36.3864868,129.3064707
74,흥기1리,경상북도 영덕군 달산면 광산1길 6,경상북도 영덕군 달산면 흥기리 307,노인시설,57.00,17,36.3864868,129.3064707
75,흥기2리,경상북도 영덕군 달산면 오봉길 37-7 ,경상북도 영덕군 달산면 흥기리 502-1,노인시설,106.00,32,36.371921,129.308615
