연번,시군명,대피소명,읍면,리,대피소유형,시설명,시설구분,도로명주소,면적,수용인원,대체대피소명
1,영양군,영양 동부1,영양읍,동부1,한파쉼터/무더위쉼터/미세먼지쉼터,동부1리 마을회관,마을회관,경상북도 영양읍 동부1리 황용천길 68,167.7,56,동부LH아파트 경로당
 ,영양군,영양 동부2,영양읍,동부2,한파쉼터/무더위쉼터/산사태,동부2리 마을회관,마을회관,경상북도 영양읍 동부2리 동부천2길 39,198.73,66,도뭇골 경로당
3,영양군,영양 서부1,영양읍,서부1,한파쉼터/무더위쉼터/미세먼지쉼터,서부1리 마을회관,마을회관,경상북도 영양읍 서부1리 시장4길 19,210.31,70,영양군민회관
4,영양군,영양 서부2,영양읍,서부2,,서부2리 마을회관,마을회관,경상북도 영양읍 서부2리 팔수로 542,141.65,47,서부LH아파트 경로당
5,영양군,영양 서부3,영양읍,서부3,한파쉼터/무더위쉼터/미세먼지쉼터,서부3리 마을회관,마을회관,경상북도 영양읍 서부3리 지역골길 9-1,97.2,32,서부4리 마을회관
6,영양군,영양 서부4,영양읍,서부4,한파쉼터/무더위쉼터/미세먼지쉼터,서부4리 마을회관,마을회관,경상북도 영양읍 서부4리 솔광장길 9-3,166.88,56,서부3리 마을회관
7,영양군,영양 황용,영양읍,황용,,황용리 마을회관,마을회관,경상북도 영양읍 황용리 황용길 115,97.92,33,동부2리 마을회관
8,영양군,영양 현1,영양읍,현1,한파쉼터/무더위쉼터/산사태,현1리 마을회관,마을회관,경상북도 영양읍 현1리 현동1길 33,227.24,76,서부2리 마을회관
9,영양군,영양 현2,영양읍,현2,무더위쉼터,현2리 마을회관,마을회관,경상북도 영양읍 현2리 양평길 88-18,99.44,33,현1리 마을회관
10,영양군,영양 현3,영양읍,현3,,현3리 마을회관,마을회관,경상북도 영양읍 현3리 현동3길 5-5,187.74,63,현1리 마을회관
11,영양군,영양 전곡,영양읍,전곡,,현3리 마을회관,마을회관,경상북도 영양읍 현3리 현동3길 5-5,187.74,63,현1리 마을회관
12,영양군,영양 감천1,영양읍,감천1,임시주거시설/산사태,감천1리 마을회관,마을회관,경상북도 영양읍 감천1리 감천2길 24,117.93,39,감천1리 경로당
13,영양군,영양 감천2,영양읍,감천2,산사태,감천2리 경로당,경로당,경상북도 영양읍 감천2리 지평길 51,106.57,36,감천1리 마을회관
14,영양군,영양 삼지1,영양읍,삼지1,한파쉼터/무더위쉼터/산사태대피소,삼지1리 마을회관,마을회관,경상북도 영양읍 삼지1리 삼지길 98-4,108.59,36,서부1리 마을회관
15,영양군,영양 삼지2,영양읍,삼지2,한파쉼터/무더위쉼터,삼지2리 마을회관,마을회관,경상북도 영양읍 삼지2리 연지길 126-1,97.48,32,삼지1리 마을회관
16,영양군,영양 하원,영양읍,하원,한파쉼터/무더위쉼터,하원리 마을회관,마을회관,경상북도 영양읍 하원리 상원로 27,106.57,36,대천2리 마을회관
17,영양군,영양 상원1,영양읍,상원1,한파쉼터/무더위쉼터,상원1리 마을회관,마을회관,경상북도 영양읍 상원1리 상원로 260,110.67,37,삼지1리 마을회관
18,영양군,영양 상원2,영양읍,상원2,임시주거시설/한파쉼터/무더위쉼터,대천2리 마을회관,마을회관,경상북도 영양읍 대천2리 옥산4길 9,159.01,53,상원1리 마을회관
19,영양군,영양 상원3,영양읍,상원3,한파쉼터/무더위쉼터,상원3리 마을회관,마을회관,경상북도 영양읍 상원3리 상원로 472,119,40,동부2리 마을회관
20,영양군,영양 무학,영양읍,무학,,무학리 마을회관,마을회관,경상북도 영양읍 무학리 비리동천길 429-61,83.16,28,하원리 마을회관
21,영양군,영양 대천1,영양읍,대천1,산사태,선당경로당,경로당,경상북도 영양읍 대천1리 선당길 5,61.74,22,화천1리 마을회관
22,영양군,영양 대천2,영양읍,대천2,한파쉼터/무더위쉼터/산사태,대천2리 마을회관,마을회관,경상북도 영양읍 대천2리 옥산3길 9,110.95,37,하원리 마을회관
23,영양군,영양 화천1,영양읍,화천1,한파쉼터/무더위쉼터/산사태대피소,화천1리 마을회관,마을회관,경상북도 영양읍 화천1리 영양창수로 577,190.47,63,대천2리 마을회관
24,영양군,영양 화천2,영양읍,화천2,,화천2리 마을회관,마을회관,경상북도 영양읍 화천2리 창암3길 31,161.83,54,화천1리 마을회관
25,영양군,영양 무창1,영양읍,무창1,,무창1리 마을회관,마을회관,경상북도 영양읍 무창1리 화무로 1992-5,179.22,60,화천1리 마을회관
26,영양군,영양 무창2,영양읍,무창2,한파쉼터/무더위쉼터,무창2리 마을회관,마을회관,경상북도 영양읍 무창2리 낙동정맥로 182,134.83,45,화천1리 마을회관
27,영양군,영양 무창3,영양읍,무창3,임시주거시설/한파쉼터/무더위쉼터,무창3리 마을회관,마을회관,경상북도 영양읍 무창3리 금지1길 10-4,97.8,33,화천1리 마을회관
28,영양군,영양 양구,영양읍,양구,,양구리 마을회관,마을회관,경상북도 영양읍 양구리 양구길 9,113.08,38,무창3리 마을회관
29,영양군,영양 기산,영양읍,기산,,기산리 마을회관,마을회관,경상북도 영양읍 기산리 기산길 491,106.26,35,송하리 경로당
30,영양군,영양 신구1,입암면,신구1리,한파쉼터/무더위쉼터,신구1리 마을회관(신구1리경로당),마을회관(경로당),경상북도 입암면 신구1리 입암로 117-4,171.66,34,입암면분회경로당
31,영양군,영양 신구2,입암면,신구2리,산사태,신구2리 마을회관(신구2리경로당),마을회관(경로당),경상북도 입암면 신구2리 탑구길 21,105.11,21,신구1리할머니경로당
32,영양군,영양 양항,입암면,양항리,,양항리 마을회관(양항리경로당),마을회관(경로당),경상북도 입암면 양항리 약수탕길 28-3,103.39,20,신구2리 마을회관
33,영양군,영양 연당1,입암면,연당1리,한파쉼터/무더위쉼터/산사태,연당1리 마을회관(연당1리경로당),마을회관(경로당),경상북도 입암면 연당1리 서석지1길 5,102.72,20,선바위경로당
34,영양군,영양 연당2,입암면,연당2리,한파쉼터/무더위쉼터/산사태대피소/미세먼지쉼터,연당2리 마을회관(연당2리경로당),마을회관(경로당),경상북도 입암면 연당2리 주역2길 40-1,108.62,21,선바위경로당
35,영양군,영양 금학,입암면,금학리,산사태,금학리 마을회관(금학경로당),마을회관(경로당),경상북도 입암면 금학리 선바위로 646,103.1,20,샘실경로당
36,영양군,영양 대천,입암면,대천리,,대천리 마을회관(대천경로당),마을회관(경로당),경상북도 입암면 대천리 대천1길 15,106.48,21,대천보건진료소
37,영양군,영양 신사1,입암면,신사1리,한파쉼터/무더위쉼터,신사1리 마을회관(신사1리경로당),마을회관(경로당),경상북도 입암면 신사1리 새골길 24,99.26,19,서치경로당
38,영양군,영양 신사2,입암면,신사2리,임시주거시설/한파쉼터/무더위쉼터/미세먼지쉼터,신사2리 마을회관(사래경로당),마을회관(경로당),경상북도 입암면 신사2리 선바위로 160-8,114.84,22,서치경로당
39,영양군,영양 산해1,입암면,산해1리,,산해1리 마을회관(산해1리경로당),마을회관(경로당),경상북도 입암면 산해1리 산해1길 20,113.56,22,입암면분회경로당
40,영양군,영양 산해2,입암면,산해2리,한파쉼터/무더위쉼터/산사태/미세먼지쉼터,산해2리 마을회관(산해2리경로당),마을회관(경로당),경상북도 입암면 산해2리 후평길 2,138.7,27,신구1리할머니경로당
41,영양군,영양 산해3,입암면,산해3리,,산해3리 마을회관(주파경로당),마을회관(경로당),경상북도 입암면 산해3리 주파길 36,101.08,20,문해경로당
42,영양군,영양 산해4,입암면,산해4리,임시주거시설/산사태,산해4리 마을회관(산해4리경로당),마을회관(경로당),경상북도 입암면 산해4리 마령산해로 947,108.4,21,산해3리경로당
43,영양군,영양 교,입암면,교리,,교리 마을회관(교리경로당),마을회관(경로당),경상북도 입암면 교리 교리1길 3,88.78,17,병옥경로당
44,영양군,영양 삼산,입암면,삼산리,,삼산리 마을회관(삼산경로당),마을회관(경로당),경상북도 입암면 삼산리 삼산1길 2,109.77,21,산해2리 마을회관
45,영양군,영양 병옥,입암면,병옥리,산사태,병옥리 마을회관(병옥경로당),마을회관(경로당),경상북도 입암면 병옥리 병옥2길 24-1,104.3,20,교리경로당
46,영양군,영양 노달,입암면,노달리,임시주거시설,노달리 마을회관(노달경로당),마을회관(경로당),경상북도 입암면 노달리 노달1길 2,108.68,21,고구령경로당
47,영양군,영양 방전,입암면,방전리,산사태,방전리 갯마을경로당,마을회관(경로당),경상북도 입암면 방전리 방전2길 15,76.59,15,흥구리 마을회관
48,영양군,영양 흥구,입암면,흥구리,한파쉼터/무더위쉼터/미세먼지쉼터,흥구리 마을회관(흥구경로당),마을회관(경로당),경상북도 입암면 흥구리 흥구길 65,124.52,24,방전리 갯마을경로당
49,영양군,영양 저,청기면,저리,임시주거시설/한파쉼터/무더위쉼터/미세먼지쉼터,저리 경로당,경로당,경상북도 청기면 저리 모시골길 7,104.25,30,상청할머니 경로당
50,영양군,영양 상청1,청기면,상청1리,,상청할머니 경로당,경로당,경상북도 청기면 상청1리 청기로 574,104.25,34,저리경로당
51,영양군,영양 상청2,청기면,상청2리,한파쉼터/무더위쉼터/미세먼지쉼터,상청2리 경로당,경로당,경상북도 청기면  상청2리 신당2길 9-2,104.48,14,구매1리 발매경로당
52,영양군,영양 구매1,청기면,구매1리,산사태,구매1리 발매경로당,경로당,경상북도 청기면  구매1리 발매길 26,80.3,24,구매1리 마을회관
53,영양군,영양 구매2,청기면,구매2리,산사태,구매2리 노인회관,노인회관,경상북도 청기면  구매2리 구매길 411,69.7,15,구매1리 발매경로당
54,영양군,영양 청기1,청기면,청기1리,,청기할머니 경로당,경로당,경상북도 청기면  청기1리 청기2길 18-10,87.12,30,청기리 경로당
55,영양군,영양 청기2,청기면,청기2리,산사태,청기2리 경로당,경로당,경상북도 청기면  청기2리 장평2길 8,149.52,50,청기2리 마을회관
56,영양군,영양 정족1,청기면,정족1리,산사태,정족1리 마을회관,마을회관,경상북도 청기면  정족1리 댓두들 2길 4-1,92.85,33,청기할머니경로당
57,영양군,영양 정족2,청기면,정족2리,임시주거시설/한파쉼터/무더위쉼터/미세먼지쉼터,정족2리 경로당,경로당,경상북도 청기면  정족2리 청기로 1606,165,20,정족2리 솥바리경로당
58,영양군,영양 토곡1,청기면,토곡1리,산사태,토곡1리 3반경로당,마을회관,경상북도 청기면  토곡1리 토곡로 778,99.66,15,솥바리경로당
59,영양군,영양 토곡2,청기면,토곡2리,,토곡2리 경로당,경로당,경상북도 청기면  토곡2리 장갈로 1025,107.45,10,토곡1리 3반경로당
60,영양군,영양 토구,청기면,토구리,,토구리 경로당,경로당,경상북도 청기면  토구리 창마을길 4,169.5,37,토구리 마을회관
61,영양군,영양 산운,청기면,산운리,산사태,산운리 경로당,경로당,경상북도 청기면  산운리 산운길 20,102.56,45,정족2리 경로당
62,영양군,영양 사,청기면,사리,,사리 경로당,경로당,경상북도 청기면  사리 사동길 164,101.75,17,기포 경로당
63,영양군,영양 기포,청기면,기포리,임시주거시설/산사태/한파쉼터/무더위쉼터,기포 경로당,경로당,경상북도 청기면  기포리 기포길 26,103.6,32,포두경로당
64,영양군,영양 무진,청기면,무진리,한파쉼터/무더위쉼터/산사태,월구경로당,경로당,경상북도 청기면  무진리 월구길 65,108.96,25,포두경로당
65,영양군,영양 당,청기면,당리,산사태,당리마을회관,마을회관,경상북도 청기면  당리 재일로 1376,126.39,15,당리할머니 경로당
66,영양군,영양 행화,청기면,행화리,임시주거시설,행화리 경로당,경로당,경상북도 청기면  행화리 재일로 1067-4,88.2,19,갈곡경로당
67,영양군,영양 도계1,일월면,도계1리,,도계1리마을회관,마을회관,경상북도 일월면 도계1리 영양로 2420,236.27,100,일월할머니경로당
68,영양군,영양 도계2,일월면,도계2리,한파쉼터/무더위쉼터,도계2리마을회관,마을회관,경상북도 일월면 도계2리 무등길 250,78.54,40,일월면종합복지회관
69,영양군,영양 주곡1,일월면,주곡1리,임시주거시설/한파쉼터/무더위쉼터/산사태대피소/미세먼지쉼터,주곡1리마을회관,마을회관,경상북도 일월면 주곡1리 주실1길 5,144.72,70,주곡2리 마을회관
70,영양군,영양 주곡2,일월면,주곡2리,산사태,주곡2리마을회관,마을회관,경상북도 일월면 주곡2리 감북골길 13,111.95,60,주곡1리 마을회관
71,영양군,영양 가곡,일월면,가곡리,산사태,가곡 할머니경로당,경로당,경상북도 일월면 가곡리 문두들길 6,81.46,40,가곡경로당
72,영양군,영양 도곡,일월면,도곡리,산사태,도곡리마을회관,마을회관,경상북도 일월면 도곡리  오리도곡로 10-3 ,101.94,60,도곡리구도실경로당
73,영양군,영양 오리,일월면,오리리,산사태,오리리마을회관,마을회관,경상북도 일월면 오리리 오리도곡로 737,261,120,오리배골경로당
74,영양군,영양 용화1,일월면,용화1리,임시주거시설/한파쉼터/무더위쉼터/산사태/미세먼지쉼터,용화1리마을회관,마을회관,경상북도 일월면 용화1리 절구길 31,160,70,문암리 마을회관
75,영양군,영양 용화2,일월면,용화2리,,용화2리마을회관,마을회관,경상북도 일월면 용화2리 영양로 4159,99.87,50,용화1리마을회관
76,영양군,영양 문암,일월면,문암리,,문암리마을회관,마을회관,경상북도 일월면 문암리 영양로 3312-3,161.1,70,문암홈거리경로당
77,영양군,영양 칠성,일월면,칠성리,,칠성리마을회관,마을회관,경상북도 일월면 칠성리 반월형길 8,168,70,일월면종합복지회관
78,영양군,영양 가천,일월면,가천리,임시주거시설/산사태/한파쉼터/무더위쉼터/미세먼지쉼터,가천리마을회관,마을회관,경상북도 일월면 가천리 가천로 185,90,50, 상가천경로당
79,영양군,영양 섬촌,일월면,섬촌리,한파쉼터/무더위쉼터/산사태,섬촌리마을회관,마을회관,경상북도 일월면 섬촌리 섬촌길 169,91.98,50,섬촌메베리경로당
80,영양군,영양 곡강,일월면,곡강리,임시주거시설,곡강리마을회관,마을회관,경상북도 일월면 곡강리 당진길 5,199.3,80,일월면종합복지회관
81,영양군,영양 발리1,수비면,발리1리,,발리1리 경로당,경로당,경상북도 수비면 발리1리 금촌길 14,98.82,80,수비면분회경로당
82,영양군,영양 발리2,수비면,발리2리,한파쉼터/무더위쉼터/미세먼지쉼터,발리2리 경로당,경로당,경상북도 수비면 발리2리 낙동정맥로 2422,108.03,90,화랑용수경로당
83,영양군,영양 계1,수비면,계1리,산사태,계1리 마을회관,마을회관,경상북도 수비면 계1리 계리길 112-6,118.88,35,계2리 경로당
84,영양군,영양 계2,수비면,계2리,,계2리 경로당,경로당,경상북도 수비면 계2리 계리길 373-2,111.14,38,계1리 마을회관
85,영양군,영양 오기1,수비면,오기1리,한파쉼터/무더위쉼터,오기1리 경로당,경로당,경상북도 수비면 오기1리 낙동정맥로 2275,89.89,52,오기2리 경로당
86,영양군,영양 오기2,수비면,오기2리,임시주거시설/산사태/한파쉼터/무더위쉼터,오기2리 경로당,경로당,경상북도 수비면 오기2리 낙동정맥로 2092,93.81,60,우천경로당
87,영양군,영양 신원1,수비면,신원1리,,신원1리 마을회관,마을회관,경상북도 수비면 신원1리 원역길 46,99.2,36,신원2리 경로당
88,영양군,영양 신원2,수비면,신원2리,임시주거시설,신원2리 경로당,경로당,경상북도 수비면 신원2리 한티로 704-12,93.44,45,신원1리 마을회관
89,영양군,영양 수하1,수비면,수하1리,산사태,수하1리 경로당,경로당,경상북도 수비면 수하1리 공수하길 65-7,84.81,48,괘벽경로당
90,영양군,영양 수하2,수비면,수하2리,산사태,수하2리마을회관,마을회관,경상북도 수비면 수하2리 낙동정맥로3427,124.02,43,수하1리 경로당
91,영양군,영양 수하3,수비면,수하3리,한파쉼터/무더위쉼터/임시주거시설,수하3리 경로당,경로당,경상북도 수비면 수하3리 송방길 17,93.24,32,수하2리 마을회관
