연번,시도,소방서,안전센터,지역대,차량번호
1,경북, 소방본부 , 예비용 ,, 998주8444 
2,경북, 소방본부 , 예비용 ,, 998주5717 
3,경북, 소방본부 , 예비용 ,, 998주5781 
4,경북, 소방본부 , 예비용 ,, 998주5751 
5,경북, 경북소방학교 , 교육용 ,, 998주8437 
6,경북, 경북소방학교 , 교육용 ,, 998주8415 
7,경북, 경북소방학교 , 교육용 ,, 998주5785 
8,경북, 포항북부 , 구조구급 1 ,, 998누3091 
9,경북, 포항북부 , 구조구급 2 ,, 998누3094 
10,경북, 포항북부 , 두호 ,, 998누3033 
11,경북, 포항북부 , 흥해 ,, 998누3062 
12,경북, 포항북부 , 장량 ,, 998누3022 
13,경북, 포항북부 , 기계 ,, 998누3093 
14,경북, 포항북부 , 청하 ,, 998누3041 
15,경북, 포항남부 , 구조구급 ,, 998도3834 
16,경북, 포항남부 , 해도1 ,, 998도3886 
17,경북, 포항남부 , 해도2 ,, 998도5680 
18,경북, 포항남부 , 제철 ,, 998도3835 
19,경북, 포항남부 , 연일 ,, 998누3014 
20,경북, 포항남부 , 효자 ,, 998도3855 
21,경북, 포항남부 , 오천 ,, 998도5650 
22,경북, 포항남부 , 오천 , 장기 , 998도5660 
23,경북, 포항남부 , 구룡포 ,, 998누3048 
24,경북, 포항남부 , 울릉 ,, 998도3840 
25,경북, 포항남부 , 울릉 , 북면 , 998누3004 
26,경북, 경주 , 구조구급 ,, 998가5842 
27,경북, 경주 , 동부 ,, 998가5858 
28,경북, 경주 , 불국사 ,, 998가5841 
29,경북, 경주 , 보문 ,, 998가5894 
30,경북, 경주 , 용황 ,, 998가5823 
31,경북, 경주 , 안강 ,, 998가5864 
32,경북, 경주 , 황오 , 내남 , 998가5880 
33,경북, 경주 , 외동 ,, 998가5884 
34,경북, 경주 , 감포 ,, 998가5854 
35,경북, 경주 , 감포 , 양남 , 998가5826 
36,경북, 경주 , 감포 , 문무대왕 , 998가5881 
37,경북, 경주 , 건천 ,, 998가5855 
38,경북, 경주 , 건천 , 서면 , 998가5878 
39,경북, 김천 , 구조구급 ,, 998러9889 
40,경북, 김천 , 다수 ,, 998러9882 
41,경북, 김천 , 대광 ,, 998러9866 
42,경북, 김천 , 지례 ,, 998러9855 
43,경북, 김천 , 아포 ,, 998러9847 
44,경북, 김천 , 율곡 ,, 998러9881 
45,경북, 안동 , 구조구급1 ,, 998노8140 
46,경북, 안동 , 구조구급2 ,, 998누2260 
47,경북, 안동 , 법흥 , 일직 , 998주5789 
48,경북, 안동 , 용상 ,, 998주5723 
49,경북, 안동 , 용상 , 길안 , 998주5724 
50,경북, 안동 , 풍산 ,, 998노8194 
51,경북, 안동 , 옥동 ,, 998노8168 
52,경북, 안동 , 옥동 , 북후 , 998누2255 
53,경북, 안동 , 옥동 , 서후 , 998노8163 
54,경북, 안동 , 도산 ,, 998누2250 
55,경북, 영양 , 영양 ,, 998노8187 
56,경북, 영양 , 영양 , 수비 , 998주5790 
57,경북, 영양 , 입암 ,, 998노8107 
58,경북, 구미 , 구조구급 ,, 998저4084 
59,경북, 구미 , 송정 ,, 998무6988 
60,경북, 구미 , 원평 ,, 998무6968 
61,경북, 구미 , 인동 ,, 998무6930 
62,경북, 구미 , 선산 ,, 998무6907 
63,경북, 구미 , 해평 ,, 998저4088 
64,경북, 구미 , 상림 ,, 998저4089 
65,경북, 구미 , 옥계 ,, 998저4094 
66,경북, 구미 , 고아 ,, 998무6904 
67,경북, 구미 , 봉곡 ,, 998무6905 
68,경북, 영주 , 구조구급 ,, 998주5003 
69,경북, 영주 , 가흥1 ,, 998주5052 
70,경북, 영주 , 가흥2 ,, 998주5005 
71,경북, 영주 , 풍기 ,, 998주5070 
72,경북, 영주 , 풍기 , 순흥 , 998주5042 
73,경북, 영주 , 풍기 , 부석 , 998주5037 
74,경북, 영천 , 구조구급 ,, 998마8137 
75,경북, 영천 , 동부 , 화남 , 998마8133 
76,경북, 영천 , 남부 ,, 998마8136 
77,경북, 영천 , 남부 , 북안 , 998마8163 
78,경북, 영천 , 금호 ,, 998마8162 
79,경북, 영천 , 신녕 ,, 998마8131 
80,경북, 영천 , 신녕 , 청통 , 998마8170 
81,경북, 상주 , 구조구급1 ,, 998부8622 
82,경북, 상주 , 구조구급2 ,, 998부8635 
83,경북, 상주 , 함창 ,, 998부8625 
84,경북, 상주 , 함창 , 은척 , 998부8655 
85,경북, 상주 , 청리 ,, 998부8602 
86,경북, 상주 , 낙동 ,, 998부8601 
87,경북, 상주 , 화서 ,, 998부8604 
88,경북, 상주 , 화서 , 모서 , 998부8675 
89,경북, 상주 , 화서 , 화북 , 998부8646 
90,경북, 문경 , 구조구급 ,, 998서5706 
91,경북, 문경 , 산북 ,, 998서5700 
92,경북, 문경 , 산북 , 동로 , 998서5772 
93,경북, 문경 , 모전 ,, 998서5775 
94,경북, 문경 , 가은 ,, 998서5740 
95,경북, 문경 , 문경 ,, 998서5774 
96,경북, 경산 , 구조구급 ,, 998무8507 
97,경북, 경산 , 중앙1 ,, 998무8508 
98,경북, 경산 , 중앙2 ,, 998무8599 
99,경북, 경산 , 중산 ,, 998무8519 
100,경북, 경산 , 하양 ,, 998무8517 
101,경북, 경산 , 진량 ,, 998무8513 
102,경북, 경산 , 자인 ,, 998무8520 
103,경북, 의성 , 구조구급 ,, 998오3033 
104,경북, 의성 , 봉양 , 금성 , 998오3057 
105,경북, 의성 , 안계 ,, 998오3010 
106,경북, 의성 , 안계 , 다인 , 998오3015 
107,경북, 의성 , 의성 ,, 998오3012 
108,경북, 의성 , 의성 , 점곡 , 998오3085 
109,경북, 청송 , 청송 , 현서 , 998서5626 
110,경북, 청송 , 청송 , 안덕 , 998노8172 
111,경북, 청송 , 청송 , 주왕산 , 998서5603 
112,경북, 청송 , 구조구급 ,, 998서5628 
113,경북, 청송 , 진보 ,, 998노8177 
114,경북, 영덕 , 구조구급 ,, 998러2551 
115,경북, 영덕 , 영덕 , 지품 , 998러2512 
116,경북, 영덕 , 영해 ,, 998러2553 
117,경북, 영덕 , 강구 ,, 998러2540 
118,경북, 청도 , 구조구급 ,, 998가9620 
119,경북, 청도 , 청도 , 화양 , 998가9641 
120,경북, 청도 , 풍각 ,, 998가9642 
121,경북, 청도 , 금천 ,, 998가9614 
122,경북, 고령 , 구조구급 ,, 998거4810 
123,경북, 고령 , 다산 ,, 998거4814 
124,경북, 고령 , 다산 , 성산 , 998거4815 
125,경북, 고령 , 대가야 , 개진 , 998거4835 
126,경북, 성주 , 구조구급 ,, 998루6020 
127,경북, 성주 , 성주 , 초전 , 998루6088 
128,경북, 성주 , 선남 ,, 998루6080 
129,경북, 성주 , 가천 ,, 998루6033 
130,경북, 칠곡 , 구조구급 ,, 998보2777 
131,경북, 칠곡 , 북삼 ,, 998보2784 
132,경북, 칠곡 , 북삼 , 약목 , 998보2764 
133,경북, 칠곡 , 왜관 ,, 998보2717 
134,경북, 칠곡 , 가산 ,, 998보2718 
135,경북, 칠곡 , 석적 ,, 998보2789 
136,경북, 칠곡 , 동명 ,, 998보2714 
137,경북, 칠곡 , 지천 ,, 998보2724 
138,경북, 예천 , 용문 ,, 998누9249 
139,경북, 예천 , 구조구급 ,, 998누9231 
140,경북, 예천 , 도청구조구급 ,, 998누9261 
141,경북, 예천 , 지보 ,, 998누9240 
142,경북, 예천 , 지보 , 용궁 , 998누9266 
143,경북, 예천 , 지보 , 풍양 , 998누9235 
144,경북, 봉화 , 구조구급 ,, 998버9902 
145,경북, 봉화 , 춘양 ,, 998주5008 
146,경북, 봉화 , 춘양 , 석포 , 998주5009 
147,경북, 봉화 , 명호 ,, 998주9937 
148,경북, 봉화 , 명호 , 재산 , 998버9910 
149,경북, 울진 , 구조구급 ,, 998우8409 
150,경북, 울진 , 죽변 ,, 998우8461 
151,경북, 울진 , 북면 ,, 998우8427 
152,경북, 울진 , 후포 ,, 998우8460 
153,경북, 울진 , 후포 , 기성 , 998우8410 
154,경북, 울진 , 온정 ,, 998우8405 
