주소,취약지역유형,관리주체,소유별,면적(제곱미터),거리(미터),취약지역지정사유,데이터기준일자
경상북도 포항시 북구 죽장면 두마리 1324,토석류,포항시,사유림,311,0,"계류구간 다량의 전석 관찰되고 침식 및 유실 관찰, 부분적 토석류흔적 있으며 하부 농장과 인접하여 피해우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 두마리 산10,토석류,포항시,사유림,281,0,"계류 전구간에서 침식 및 퇴적이 관찰되고, 전석퇴적 및 토석류흔적이 있으며 계류  황폐화 되어 있음.",2026-04-07
경상북도 포항시 북구 죽장면 두마리 산144,토석류,포항시,사유림,174,2737.98,"유역규모가 크고, 계상에 돌, 전석 등 다량의 퇴적물이 퇴적되어 집중호우시 일시에 하부로 이동할 경우 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 현내리 산47,산사태,포항시,사유림,1075,2000,"옹벽 상부 사면의 침식으로 인한 토사유출이 상당히 진행중이고, 옹벽 상부에 소규모 낙석이 관찰됨.",2026-04-07
경상북도 포항시 북구 죽장면 현내리 산47,토석류,포항시,사유림,1730,10,"대상지는 사찰(무학사) 인접 황폐성 계류를 대상으로 하며, 토석류 유출 저지를 위해 적정규모의 방재시설 확보를 통한 지역의 재해안정성을 일부 확보하였으나, 현장상황(계류환경 등) 및 시뮬레이션 분석 결과 토석류 확산 영향 범위 내 보호시설 등 인명피해 우려 대상이 존재하여 비구조적 대피체계 구축이 필요할 것으로 판단됨에 따라 지정ㆍ심의 상정 대상지로 선정하였음",2026-04-07
경상북도 포항시 북구 죽장면 현내리 산8,토석류,포항시,사유림,637,0,"계류의 종단물매가 매우 급하고, 일부구간 계안이 낮아 월류가능성이 있고, 조사구간 전구간에 걸쳐 자갈, 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 일광리 산155,토석류,포항시,사유림,653,0,계류하부에 인가가 위치하며 계류내 전석과 침식이 관찰됨. 계류폭이 좁고 길며 경사가 비교적 급경사이고 주민의 피해이력 호소.,2026-04-07
경상북도 포항시 북구 죽장면 현내리 산3,토석류,포항시,사유림,365,0,"과거 토석류 발생으로 하부 인가의 피해발생 이력이 있고, 계류내 사방사업이 시행된 대상지로 산사태 취약지역으로 지정하여 추후 피해여부를 모니터링하고자 함.",2026-04-07
경상북도 포항시 북구 죽장면 일광리 산10,토석류,포항시,사유림,375,0,계류 일부구간 침식이 관찰되며 경사가 비교적 급하며 하부 인가와의 이격거리가   짧아 피해우려됨.,2026-04-07
경상북도 포항시 북구 죽장면 방흥리 615,토석류,포항시,사유림,717,0,"일부구간 종단물매가 급하고, 계상에 다량의 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 입암리 산50,토석류,포항시,사유림,304,784.9,하부 인가 밀집 지역으로 계류 내 토사유실이 관측되며 유동가능 전석 등이 퇴적   되어 있어 집중호우시 하부 인가 피해가 우려됨.,2026-04-07
경상북도 포항시 북구 죽장면 정자리 산33-2,토석류,포항시,사유림,205,1200,"계류의 종단 경사가 매우 급하고, 침식 및 세굴이 관찰되며, 계상에 다양한 입경의 석력들이 상당량 산재해 있어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 매현리 산76,토석류,포항시,사유림,190,300,"유역면적이 넓고, 종단 물매가 비교적 급하며, 계류 내 계안 돌쌓기가 되어 있으나 붕괴가 관찰되고, 균열이 발달한 기반암 계안이 관찰되며, 계상에 다수의 토석이 퇴적되어 있음.",2026-04-07
경상북도 포항시 북구 죽장면 정자리 산8-1,토석류,포항시,사유림,226,800,"계류의 종단 경사가 매우 급하고, 계류 내 침식 및 토사유실이 관찰되며, 조사구간 전 구간에 걸쳐 다양한 입경의 토석들이 산재해 있음.",2026-04-07
경상북도 포항시 북구 죽장면 매현리 1069,토석류,포항시,사유림,121,200,"계류의 종단 물매가 급하고, 계안의 침식이 진행중이며, 계상에 유동가능 토석이 다수 존재함.",2026-04-07
경상북도 포항시 북구 죽장면 침곡리 산63-2,산사태,포항시,사유림,3622,0,"사면내 일부구간에 암반균열이 관찰되고, 석력지와 낙석이 관찰됨.",2026-04-07
경상북도 포항시 북구 기계면 남계리 653-3,토석류,포항시,사유림,228,0,계류하부에 인가가 위치해 있고 계류내 전석과 침식이 관찰됨. 계류폭이 좁고 황폐화되어 있으며 경사가 있어 우천시 산사태 발생 우려됨.,2026-04-07
경상북도 포항시 북구 죽장면 매현리 산182,토석류,포항시,사유림,221,0,계류하부에 인가가 위치하며 계류내 전석과 침식이 관찰됨. 토석류 유동흔적이 발견되고 계류폭이 좁고 경사가 있어 우천시 산사태 발생 우려됨.,2026-04-07
경상북도 포항시 북구 기계면 가안리 산81,토석류,포항시,사유림,211,1300,"계류의 종단 경사가 급하고 시점부 계안 돌쌓기의 붕괴가 관찰되며, 일부구간 계안의 침식으로 인한 토사유출이 진행중이며, 계상에 유동가능 토석이 다수 존재함.",2026-04-07
경상북도 포항시 북구 기계면 남계리 산6,산사태,포항시,사유림,921,0,"사면과 인가가 1m정도로 상당히 인접하고 있으며, 사면의 길이가 길며, 일부구간 침식으로 인하여 토사유출이 진행중에 있음",2026-04-07
경상북도 포항시 북구 죽장면 침곡리 산84,토석류,포항시,사유림,186,400,"계류의 종단 경사가 급하고, 우측계안의 석축이 붕괴되어 있으며, 침식 및 토사유실이 관찰되며, 계상에 유동가능한 토석들이 산재해 있어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 죽장면 매현리 산129-1,토석류,포항시,사유림,113,0,"급경사 계류 내 침식이 관찰되고, 간이돌메쌓기가 붕괴되어 있으며, 유역면적에 비해 일부구간 통수단면적이 협소한 구간이 존재하여 월류 가능성이 있을 것으로 판단됨.",2026-04-07
경상북도 포항시 북구 기계면 인비리 1321-63,토석류,포항시,사유림,294,0,"계류내 전석과 침식이 발견되며 수목전도가 관찰되고, 경사가 비교적 급하여 우천시 산사태 발생 우려됨.",2026-04-07
경상북도 포항시 북구 기북면 관천리 산31,토석류,포항시,사유림,206,1648.11,"유역면적이 비교적 넓고 계류 내 월류 흔적이 관찰되며, 돌쌓기는 일부 파손되었고 계안 붕괴지가 관찰됨. 계상에 토사유실 및 유동가능 토석이 다수의 구간에서 관찰되어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 기북면 용기리 산18,토석류,포항시,사유림,239,2903.98,"유역면적이 상당히 넓고 계류의 총길이는 길며, 계류 내 토사유실 및 다양한 입경의 석력이 적치되어 있어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 기북면 용기리 산52,토석류,포항시,사유림,428,2274.43,"계류 내 다수의 구간에서 전석과 침식이 관찰되며, 수목전도 및 바닥세굴이 발견됨. 계류 내 전반적으로 토석류가 발생하였고 경사도 또한 급한편으로 우천시 산사태 발생 우려됨.",2026-04-07
경상북도 포항시 북구 기북면 오덕리 1246-87,토석류,포항시,사유림,438,0,"계류의 종단물매가 급하고, 계류내 일부구간 계안의 침식으로 인한 수목의 뿌리노출이 관찰되고, 조사구간 전구간에 걸쳐 자갈, 돌, 전석 등의 퇴적물이 다수 존재하여 집중호우시 하부 인가의 피해가 우려됨.",2026-04-07
