시도,시군구,읍면동,리,지번,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,취약지역지정사유및목적,소유별
경상북도,안동시,신안동,,산6-3임,36,34,31.934,128,44,10.204,대상지와 인가가 인접하고 사면 상부 얕은 포행과 토사유출이 발생되고 있어 집중호우 시 인가 피해가 우려됨,사유림
경상북도,안동시,신안동,,49-1 임,36,34,21.099,128,44,12,산사태가 발생하거나 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 피해 가능성이 있는 지역임,사유림
경상북도,안동시,신안동,,49-1 임,36,34,23.599,128,44,16.3,산사태가 발생하거나 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 피해 가능성이 있는 지역임,사유림
경상북도,안동시,법흥동,,산6-1임,36,33,58.56,128,44,45.792,문화재와 철로가 있으며 하부 문화재 보수공사로 인해 퇴적물이 다수 적치되어 있음. 따라서 배수시설 정비와 상부에서 유동되는 퇴적물을 차단하기 위해 취약지역으로 지정하고자 함.,사유림
경상북도,안동시,용상동,,산68-2임,36,33,5.711,128,46,10.482,퇴적물 유동에 의한 피해 가능성은 낮으나 인가 뒤편 사면에서 토사유출이 진행중이고 수목전도가 우려됨. 따라서 취약지역으로 지정하여 인가 보호가 필요할 것으로 판단됨.,사유림
경상북도,안동시,안기동,,산105-1임 안동 제2015-89호,36,34,50.099,128,42,51.3,농경지로 인하여 사면 훼손된 곳 발견됨,사유림
경상북도,안동시,안기동,,산110-1구 안동 제2015-96호,36,35,5.399,128,42,48.7,중간부까지 우측 사면의 경사가 심하고 붕괴도 발견됨,사유림
경상북도,안동시,안기동,,244-1,36,34,39.002,128,42,57.897,생활인가와 매우 연접한 사면으로 수목전도에 따른 피해가 우려되므로 취약지역으로 선정하여 관리함이 적절할 것으로 사료됨.,사유림
경상북도,안동시,안막동,,산16임 안동 제2015-90호,36,34,45.699,128,44,13.3,시작지점 바로 위쪽에 계류가 2갈래로 나뉨 경사가 심하고 위험한 쪽 조사,사유림
경상북도,안동시,안막동,,산94임 안동 제2015-93호,36,35,15.865,128,43,9.741,중간부부터 최상부까지 90M 정도 드러난 계류에 대하여 정비가 필요함,사유림
경상북도,안동시,안막동,,산144임 안동 제2015-94호,36,34,31.099,128,43,44.4,인가가 형성된 부분까지는 인공계류로 되어 있음,사유림
경상북도,안동시,안막동,,산18임 안동 제2015-91호,36,34,54.599,128,44,7.8,상부 소규모 배수시설과 산지사방도 필요함,사유림
경상북도,안동시,안막동,,산42-3구 안동 제2015-92호,36,35,2.599,128,44,5.9,주변 토질이 상당히 무르고 지반이 취약함,사유림
경상북도,안동시,이천동,,산138임 안동 제2015-95호,36,35,12.799,128,42,52.4,계류가 조금만 월류해도 인가에 큰 피해를 입힐 수 있음,사유림
경상북도,안동시,이천동,,산43임,36,36,26.7,128,43,10.5,"전답배후사면으로 표층유실 및 토사붕괴가 관찰되었으며, 토사붕괴의 추가발생우려가 있음.",사유림
경상북도,안동시,이천동,,산141임,36,35,8.8,128,42,49.1,인가 및 경작지 상부 사면에서 낙석이 발생하였으며 추가 낙석 발생 가능,사유림
경상북도,안동시,송천동,,1166답,36,33,10.199,128,47,7.9,산사태가 발생하거나 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 피해 가능성이 있는 지역임,사유림
경상북도,안동시,송천동,,1272답,36,33,14.835,128,47,12.046,산사태가 발생하거나 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 피해 가능성이 있는 지역임,사유림
경상북도,안동시,송천동,,산56임,36,33,3.199,128,47,18.8,산사태가 발생하거나 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 피해 가능성이 있는 지역임,사유림
경상북도,안동시,송천동,,45답,36,32,35.019,128,48,39.78,산사태가 발생하거나 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 피해 가능성이 있는 지역임,사유림
경상북도,안동시,수하동,,산57임,36,32,24.096,128,41,18.732,"경사가 급하여 노출된 암반의 절리 발달하엿으며, 인가의 피해가 우려됨",사유림
경상북도,안동시,풍산읍,상리리,산47-6임,36,34,53.098,128,34,45.072,"하부로 인가 밀집지 있지만 아무 사방시설 없고 유출구 주변으로 인위적으로 전석, 자갈 치워 놓은 흔적 있음",사유림
경상북도,안동시,풍산읍,상리리,산66임,36,34,30,128,35,1.999,"지류 합류부에서 화강암 사면의 표층유실, 농지 유실 등이 확인되어 경작지에서 지속적인 피해를 입고 있음. 따라서 추가적인 재산피해 방지를 위해 취약지역으로 제안함.",사유림
경상북도,안동시,풍산읍,막곡리,654구,36,34,33.874,128,40,3.303,산사태가 발생하거나 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 피해 가능성이 있는 지역임,사유림
경상북도,안동시,풍산읍,수곡리,산5임 안동 제2015-17호,36,35,35.11,128,38,22.932,하부에 초등학교가 위치하고 있어 산지재해 발생 시 인명 및 재산의 피해발생이 우려되는 지역으로 산사태 발생 우려지역으로의 선정 하여 관리할 필요가 있다고 사료됨.,사유림
