연번,지번,위도,경도,취약지역유형,취약지역지정사유,소유별
1,경상북도 구미시 지산동 산19-2임,36.1397219,128.3444444,토석류,초등학교 옆 사면에서 함몰현상이 관측되며 토사유출량이 많아 주민이 불안해하고 있는 실정으로 취약지역으로 선정하는 것이 타당하다 판단됨,사유림
2,경상북도 구미시 지산동 산27-3임,36.1330831,128.3425556,토석류,"본 계류 유출구에는 전도 가능성이 있는 전석들이 일부 분포하고, 붕괴지가 일부 구간에 발생한 상태로 피해가 우려되는 상태이다. 그러나 이를 미연에 방지하거나 방호할 수 있는 시설물이 유출구 부근에는 부재한 상태로 산사태나 토석류에 의한 피해가 발생할 수 있음에 따라 취약지역으로 선정하였다",사유림
3,경상북도 구미시 지산동 산15임,36.1427775,128.3447222,토석류,"유역면적은 작은 편이나 노출된 기반암의 풍화도가 높고 퇴적물 유동흔적 및 표층유실, 세굴, 풍화로 인한 토사유출이 관측되므로 취약지역으로 선정함",사유림
4,경상북도 구미시 지산동 산 8 임,36.1464997,128.3446944,토석류,지속적인 풍화와 강우침투에 의해서 연약화된 부분이 붕괴된 구역과 추가로 붕괴가 발생한 구역이 관찰됨에 따라 집중호우시 하부인가부근까지 토석들이 유입될 수 있다. 그러나 이를 미연에 방지하거나 방호할 수 있는 시설물이 유출구 부근에는 부재한 상태로 산사태나 토석류에 의한 피해가 발생할 수 있음에 따라 취약지역으로 선정하였다.,사유림
5,경상북도 구미시 지산동 산15-1임,36.1438886,128.3447222,토석류,"계류 내부로 붕괴지가 관측되고 전도된 수목이 많으며 퇴적물 유동흔적 및 표층유실, 세굴, 풍화로 인한 토사유출이 관측되므로 취약지역으로 선정함",사유림
6,경상북도 구미시 도량동 산33-1임,36.1444444,128.325,산사태,사면에서 불규칙한 침식으로 인한 표층유실이 심하게 나타나 하부 인가에 직접적 피해의 우려가 있음,사유림
7,"경상북도 구미시 봉곡동  716구,산1-1임",36.1614817,128.3075689,토석류,"본 계류는 일정범위 이상의 규모를 가지고 있는 유역으로 전석이 다수 존재하고 계안침식, 암반풍화도가 높은 등 위험요소들이 산재하므로 사방댐을 시공해 하부 인가를 보호하는 것이 좋을 것으로 판단됨",사유림
8,경상북도 구미시 봉곡동 산35구,36.1598597,128.3082225,토석류,"토심이 깊고 계류의 종단 경사가 비교적 급하며, 계류 내 풍화암 노출 및 암괴 등으로 인한 물길 방해구간이 존재해 호우 시 피해 우려됨.",사유림
9,경상북도 구미시 부곡동 산9임,36.1622778,128.29925,토석류,"본 대상지는 부곡동 ""북봉산"" 동변의 산지계류로 계류 하부  인가 및 경작지가 위치하고 있음대상 계류에 산발적인 침식과 유동성 토사석이 관찰되며, 계류 주변의 도복목이 다수 관찰되어 유목으로 계상으로 유입될 것으로 판단되는 등 산지토사재해의 위험징후가 관찰됨",사유림
10,경상북도 구미시 선기동 산55-10임,36.1280833,128.302,토석류,본 대상지는 선기동에 위치한 대성저수지 동쪽 자락에 자리하고있으며 계류하부에 농막1개소가 위치하고 있음.과거에 월류 피해가 발생한바 있고 추가 위험성이 있어 사방사업을 요청하였으며 계상에 다량의 암반이 노출되어 있으나 횡침식이 발달하고 있고 계류상부에 토사가 일부 적체되어 있어 취약지역 지정 및 계류보전사업이 권장됨.,사유림
11,경상북도 구미시 수점동 산4-2임,36.1248569,128.2926483,토석류,"식당 및 도로가 연접한 계류로 위험사면을 중심으로 사면 황폐화가 진행 중이며 식생의 뿌리 노출 등 세굴, 침식이 관찰되어 계류보전 사업의 검토가 필요할 것으로 사료됨",사유림
12,경상북도 구미시 수점동 산17,36.1181667,128.2831944,토석류,"본 대상지는 구미시 수점동 산17번지 일원에 위치한 산지계류로 하류에는 농막, 농경지 등이 분포하고 있으며, 상부는 일반 산림지역임현장조사 결과, 호우 시 마다 홍수수위가 계류를 월류한 흔적이 관찰되었으며, 계류 내 침식.붕괴 등의 위험징후가 존재하고 있어 집중호우 시 일시에 하류로 유출될 우려가 있는 지역으로 판단됨",사유림
13,경상북도 구미시 남통동 산15-1임,36.10017,128.32074,토석류,계류 상부에 전석과 자갈이 다수 존재하여 하부로 유동 시 사찰 및 도로에 피해를 입힐 가능성이 있어 취약지역으로 지정을 제안함.,사유림
14,경상북도 구미시 남통동 373-3구,36.1260275,128.3169444,토석류,"본 계류는 황폐화가 진행되고 있는 유역으로 기반암 하상위에 전석과 자갈이 퇴적되어 있으며, 유출구 지점으로부터 151.2m 지점까지 좌측 계안이 5곳, 우측 계안이 2곳의 붕괴가 발생한 상태이며, 계류내에 물이 흐르고 있어 호우 시 유량이 상당히 많을 것으로 예상이 되며 상부사면에서 붕괴된 퇴적물이 물과 함께 빠르게 이동되어 계류 하부 인가에 피해를 줄 수 있는 지역임.",사유림
15,"경상북도 구미시 남통동  산26임,산26-2임, 산26-3임",36.1112758,128.3106567,산사태,옹벽 상부 사면내 침식으로 인한 토사유출이 지속적으로 관찰되고 이로인한 수목의 뿌리가 노출되어 전도의 위험성이 있음,사유림
16,"경상북도 구미시 형곡동 853구, 688-4 대",36.1069719,128.3282222,산사태,"현장조사 결과, 본 계류 주변부는 지속적인 풍화와 외부적인 요인에 의해서 지반이 연약화되어 있는 상태로 붕괴구간이 다수 관찰됨에 따라 붕괴유실물이 계류 내 적치되어 있는 상태이다. 그러나 유실물이 유하될 경우 미연에 방지하거나 방호할 수 있는 시설물이 유출구 부근에는 부재한 상태로 산사태나 토석류에 의한 피해가 발생할 수 있음에 따라 취약지역으로 선정하였음.",사유림
17,경상북도 구미시 형곡동 산41-9임,36.1053056,128.3303056,산사태,"절개사면에 토사유출 방지망을 설치하여 토사유출 및 낙석발생을 예방하였으나, 사면의 습도가 높고, 방문객이 많은 시설으로 추가적인 사방사업보다 비구조적 대책이 필요할 것으로 사료됨",사유림
18,경상북도 구미시 형곡동 산79임,36.1128333,128.3272222,토석류,"본 대상지는 형곡동 ‘정인팰리체’ 빌라 상류에 위치한 산지계류로, 계류하부에 빌라와 농경지가 위치하고 있음현장조사결과, 계류 내 다수의 침식지가 관찰되며, 계상에 유목 및 도복목이 적채되어 있고진입로가 협소하여 사방사업 시행이 어려울 것으로 판단되며, 비구조적대책인 대피체계 구축이 권장됨",사유림
19,경상북도 구미시 형곡동 산25-6임,36.1003419,128.3365414,토석류,토심이 깊고 종단 물매가 급하며 계류 내 풍화암 노출 및 다양한 입경의 토석들이 산재해 있어 호우 시 하부 피해 우려됨.,사유림
20,"경상북도 구미시 형곡동  산27-7임, 산27-10임",36.0991511,128.3352767,토석류,종단 물매가 급하며 계류 내 돌골막이가 시설되어 있으나 일부 파손되어 있고 계상에 퇴적물 및 유동가능 전석이 관찰되어 호우 시 하부 피해 우려됨.,사유림
21,경상북도 구미시 사곡동 산27-9임,36.0980833,128.3489167,토석류,"본 대상지는 사곡동 산27-9번지에 위치한 산지계류로 유출구 하부로 다수의 민가와 농경지가 위치하고 있음다수의 침식지가 관찰되었으며, 양안에 노출된 암반에서 암편이 생성되어 계상으로 유입 및 퇴적되고 있음. 집중호우시 피해확대의 우려가 높은 지역으로 취약지역 지정 및 관리가 필요함.",사유림
22,경상북도 구미시 사곡동 산26-1임,36.0997778,128.3476389,토석류,"본대상지는 사곡동 ‘송원사’배후에 위치한 산지계류로 계류하부에 사찰이 위치하고 있음 현장조사결과, 계류 내 과거 시설한 골막이가 다수 존재하고, 일부 파손되었지만 제 기능을 유지하고 있으며 계상 에 침식 및 도복목 적채 등의 피해가 확인됨",사유림
23,"경상북도 구미시 사곡동 산50, 산26-1",36.0988939,128.3502639,토석류,"본 계류는 우측사면의 높이와 경사가 높고 토층의 심도가 깊어 강우 시 계류의 하방, 측방 침식에 매우 취약한 형태를 보이고 있으며 현재 세굴 등으로 인한 소규모 토사 유출현상으로 위험도는 낮으나 장기적인 측면을 고려해 보면 세굴로 인하여 계류 주변 사면의 하부 지지력을 이탈시켜 붕괴로 이어질 가능성이 높음.",사유림
24,경상북도 구미시 상모동 산33임,36.0846944,128.5095556,토석류,"본 대상지는 상모동 배후에 위치한 산지계류로 계류 유출구에 인가4개소가 위치하고 있음현장조사결과, 계안부에 생육하는 다수의 수목 도복이 발생하였고, 계상에 석력 및 토사 등의 적체가 확인되어 일시에 유하 할 위험이 존재하기에 사방댐 설치사업 시행이 권장되며, 취약지역으로 지정이 필요함",사유림
25,경상북도 구미시 상모동 515구,36.0866386,128.3450556,산사태,연약화된 지반상태에 의해 지속적으로 토사가 유출되면서 붕괴지가 다수 발생한 상태로 붕괴부가 확장될 가능성이 있다. 그러나 이를 미연에 방지하거나 방호할 수 있는 시설물이 유출구 부근에는 부재한 상태로 산사태나 토석류에 의한 피해가 발생할 수 있음에 따라 취약지역으로 선정하였음.,사유림
26,경상북도 구미시 임은동 산4-1임,36.085,128.3708331,산사태,"급경사 사면에 지속적인 표층유실로 인한 토사유출이 진행되고 있으며, 다수의 전도목이 관측되어 집중호우 시 산사태로 학교의 직접적인 피해가 우려되는 지역임",사유림
27,경상북도 구미시 오태동 산17임,36.0722219,128.3658611,토석류,"현장조사 결과, 평상시 피해가 발생 할 가능성은 낮으나, 집중호우시 계류수의 유량과 유속이 증가 할 경우 계류 내 적치되어 있는 자갈이나 토사유실물들이 하부로 유입 될 수 있어 이에 대한 피해예방대책이 필요 할 것으로 판단된다.",사유림
28,경상북도 구미시 신동 산5-1임,36.0999364,128.4755417,토석류,"상부 암반에 절리가 발달하여 낙석 발생 가능성이 높으며, 유동 시 주변 식당 및 경작지에 피해를 줄 가능성이 있어 취약지역으로 지정하여 관리가 필요하다고 판단됨.",사유림
29,경상북도 구미시 신동 산10임,36.1012819,128.4659975,토석류,계류의 종단 물매가 매우 급하고 계상에 퇴적 및 유동가능 전석이 산재해 있어 호우 시 유출구와 인접한 인가 피해 우려됨.,사유림
30,경상북도 구미시 구평동 산78-1임,36.0987222,128.4375236,토석류,과거 산사태로 인한 피해이력이 존재하는 지역으로 최단부 부근에는 물길이 뚜렷하지 않아 피해가 잦은 지역으로 취약지역으로 지정하여 관리를 제안함.,사유림
31,경상북도 구미시 구평동 산38,36.0819167,128.4496667,토석류,"본 대상지는 구미시 구평동 산38번지 일원에 위치한 산지계류를 대상으로 하며, 유역 하류에는 농막 및 농경지 등이 분포하고 있음현장조사 결과, 집중호우 시마다 홍수수위가 계류를 월류한 흔적이 관찰되었으며, 계류 내 침식 등의 위험징후가 존재하고 있어 강도의 강우시 일시에 하류로 유출될 우려가 높은 지역으로 판단됨. 또한, 수계와 연접하는 농경지 측안부의 정리가 미비하여 강우 발생으로 인한 증수 시 지속적인 침식이 진행되고 있음 ",사유림
32,경상북도 구미시 구평동 산134구,36.0799806,128.4513806,토석류,"본 대상지는 구미시 구평동 산134번지 일원에 위치한 계류를 대상으로 하며,  하류에는 농막 및 농경지 등이 분포하고 있으며, 상부에는 등산로가 위치하고 있음현장조사 결과,  계류를 따라 경작지 유실 피해와 월류 등의 피해를 호소하는 지역으로 계안을 따라 침식의 흔적이 다수 관찰되었으며 집중 호우시 계류수 유입에 따른 퇴적물 발생이 우려되는 지역임",사유림
33,경상북도 구미시 구평동 산54-6임,36.0896225,128.4337881,토석류,"계류의 종단 경사가 급하고 구조물 파손이 관찰되며, 계상에 퇴적으로 인한 매몰과 물길변경 구간이 존재하며, 다발성 침식구간이 존재함",사유림
34,경상북도 구미시 구평동 693-4잡,36.0852061,128.4277511,산사태,암반사면의 균열의 발달로 인한 일부구간 낙석이 발생하여 낙석방지망과 펜스가 파손되어 있음,사유림
35,경상북도 구미시 구평동 산59-5임,36.0852364,128.4296722,토석류,과거 토석류 피해지로 계류의 토심이 깊고 종단 물매가 매우 급하며 전 구간에 걸쳐 토석류 흔적이 관찰되어 호우 시 추가 피해 우려됨.,사유림
36,경상북도 구미시 구평동 산81-1임,36.0972053,128.4461292,토석류,계류의 종단 경사가 비교적 급하고 계류 내 침식 및 유동가능 전석이 산재해 있어 호우 시 하부 피해 우려됨.,사유림
37,"경상북도 구미시 구평동  산18임,산20-4임",36.0897475,128.4536728,토석류,계류 내 사방사업이 시행된 대상지로 산사태 취약지역으로 지정하여 추후 피해여부를 모니터링 하고자 함.,사유림
38,"경상북도 구미시 구평동  882-4구,891도",36.0904214,128.4572514,토석류,계류의 종단 물매가 급하고 계류 내 물길이 불안정하며 계상에 유동가능 석력이 산재해 있어 호우 시 하부 피해 우려됨.,사유림
39,"경상북도 구미시 황상동  산51임, 150답,,산49임, 산53-1임",36.1226942,128.4276667,토석류,상부의 토석이동 흔적이 관찰되며 계류 양안이 급경사로 형성되어 있어 강우시 유량의 증가가 예상됨에 따라 토석류 발생 가능성이 있음,사유림
40,경상북도 구미시 황상동 산26임,36.1171386,128.4354722,토석류,다수의 수목이 전도되어 있으며 침식 및 세굴에 의해 다량의 토사가 유출되고 있으므로 하류 생활권의 보호를 위하여 취약지역으로 선정하여 관리할 필요가 있음.,사유림
41,"경상북도 구미시 황상동  산40-5,산32, 산102",36.1192869,128.4344872,토석류,"본 대상지는 한태재 하부의 마당골 위치한 산지계류로 유출구에 구미정보고등학교가 자리하고 있으며, 계류 전반에 걸쳐 종·횡침식이 활발히 진행 중인 것으로 조사됨 계상에 상부에서 유출된 다수의 석력이 분포하고 있으며, 집중호우 시 산지토사재해의 발생 우려가 높을 것으로 사료되어 지정·심의 상정 대상지로 선정하였음",사유림
