연번,시도,시군구,읍면동,리,지번,(위도)도,(위도)분,(위도)초,(경도)도,(경도)분,(경도)초,취약지역유형,지정면적(제곱미터),데이터기준일자
1,경상북도,포항시 남구,연일읍,자명리,산42임,36,0,41.673,129,18,40.529,토석류,182,2026-06-04
2,경상북도,포항시 남구,연일읍,자명리,산42임,36,0,41.449,129,18,42.842,산사태,2069,2026-06-04
3,경상북도,포항시 남구,연일읍,중명리,587답,35,59,8.748,129,18,58.254,토석류,346,2026-06-04
4,경상북도,포항시 남구,연일읍,중단리,산4-2임,35,59,12.827,129,19,34.337,토석류,375,2026-06-04
5,경상북도,포항시 남구,연일읍,택전리,산54임,35,58,54.471,129,19,36.461,토석류,266,2026-06-04
6,경상북도,포항시 남구,대송면,홍계리,479구,35,56,58.354,129,19,40.842,토석류,177,2026-06-04
7,경상북도,포항시 남구,대송면,장동리,산141임,35,57,36.240,129,20,12.713,토석류,366,2026-06-04
8,경상북도,포항시 남구,대송면,장동리,산143-3임,35,57,34.537,129,20,23.052,토석류,276,2026-06-04
9,경상북도,포항시 남구,연일읍,우복리,산29임,35,58,18.126,129,20,27.545,산사태,1420,2026-06-04
10,경상북도,포항시 남구,대잠동,,산37-1임,36,1,28.417,129,20,40.307,산사태,347,2026-06-04
11,경상북도,포항시 남구,연일읍,우복리,산10임,35,58,24.941,129,20,40.579,토석류,501,2026-06-04
12,경상북도,포항시 남구,대송면,산여리,산33-1임,35,54,12.418,129,20,38.927,토석류,266,2026-06-04
13,경상북도,포항시 남구,대송면,산여리,산29임,35,54,21.977,129,20,56.424,토석류,79,2026-06-04
14,경상북도,포항시 남구,대송면,장동리,산21임,35,57,20.170,129,21,6.517,토석류,533,2026-06-04
15,경상북도,포항시 남구,대송면,산여리,산4임,35,55,16.326,129,21,29.860,토석류,461,2026-06-04
16,경상북도,포항시 남구,대송면,산여리,산36,35,55,41.968,129,21,56.845,토석류,12541,2026-06-04
17,경상북도,포항시 남구,오천읍,항사리,산7임,35,56,4.882,129,22,38.475,토석류,414,2026-06-04
18,경상북도,포항시 남구,오천읍,항사리,산106-1임,35,54,20.722,129,22,51.663,토석류,78,2026-06-04
19,경상북도,포항시 남구,오천읍,항사리,산76임,35,55,40.621,129,23,4.663,산사태,1346,2026-06-04
20,경상북도,포항시 남구,오천읍,갈평리,산65임,35,55,24.664,129,24,10.880,토석류,205,2026-06-04
21,경상북도,포항시 남구,오천읍,갈평리,산79임,35,54,59.137,129,24,12.023,토석류,64,2026-06-04
22,경상북도,포항시 남구,오천읍,진전리,산22임,35,53,18.340,129,24,27.950,토석류,201,2026-06-04
23,경상북도,포항시 남구,오천읍,진전리,산38-2임,35,53,15.325,129,24,29.713,토석류,162,2026-06-04
24,경상북도,포항시 남구,장기면,정천리,산259구,35,56,31.230,129,26,33.856,토석류,349,2026-06-04
25,경상북도,포항시 남구,동해면,금광리,930도,35,58,7.332,129,27,22.719,토석류,40,2026-06-04
26,경상북도,포항시 남구,장기면,정천리,산56임,35,57,5.815,129,27,38.170,토석류,347,2026-06-04
27,경상북도,포항시 남구,장기면,죽정리,산274임,35,57,36.830,129,27,48.108,산사태,850,2026-06-04
28,경상북도,포항시 남구,장기면,정천리,산43임,35,56,56.280,129,27,50.105,토석류,252,2026-06-04
29,경상북도,포항시 남구,장기면,대곡리,717구,35,55,34.196,129,27,48.607,토석류,357,2026-06-04
30,경상북도,포항시 남구,장기면,대곡리,산179임,35,55,42.961,129,27,56.216,토석류,385,2026-06-04
31,경상북도,포항시 남구,장기면,방산리,산115임,35,53,11.578,129,28,13.821,토석류,404,2026-06-04
32,경상북도,포항시 남구,장기면,학곡리,산99임,35,55,55.496,129,29,35.543,산사태,1318,2026-06-04
33,경상북도,포항시 남구,동해면,상정리,1128구,35,59,34.575,129,29,53.687,토석류,90,2026-06-04
34,경상북도,포항시 남구,동해면,상정리,산7임,35,59,34.280,129,29,57.144,산사태,474,2026-06-04
35,경상북도,포항시 남구,장기면,수성리,920-1구,35,53,5.978,129,29,56.731,토석류,41,2026-06-04
36,경상북도,포항시 남구,장기면,금곡리,산98임,35,54,33.929,129,30,51.646,산사태,318,2026-06-04
37,경상북도,포항시 남구,장기면,양포리,591-1천,35,52,22.818,129,30,49.451,토석류,434,2026-06-04
38,경상북도,포항시 남구,장기면,양포리,591-1천,35,52,24.178,129,30,55.857,토석류,218,2026-06-04
39,경상북도,포항시 남구,장기면,신창리,산46임,35,53,33.630,129,31,8.862,토석류,332,2026-06-04
40,경상북도,포항시 남구,장기면,양포리,산9임,35,52,58.693,129,31,10.550,산사태,1381,2026-06-04
41,경상북도,포항시 남구,장기면,대진리,산31임,35,55,2.885,129,31,12.033,산사태,783,2026-06-04
42,경상북도,포항시 남구,장기면,신창리,산25-1임,35,53,54.185,129,31,25.085,산사태,1140,2026-06-04
43,경상북도,포항시 남구,구룡포읍,구평리,산172임,35,57,22.203,129,31,39.173,토석류,180,2026-06-04
44,경상북도,포항시 남구,구룡포읍,후동리,산9-3임,35,59,5.674,129,32,4.076,산사태,598,2026-06-04
45,경상북도,포항시 남구,구룡포읍,하정리,산191임,35,58,12.265,129,32,9.878,토석류,331,2026-06-04
46,경상북도,포항시 남구,구룡포읍,눌태리,산70-2임,35,59,39.474,129,32,18.879,산사태,629,2026-06-04
47,경상북도,포항시 남구,호미곶면,대동배리,산3-2임,36,4,4.915,129,32,26.661,산사태,1507,2026-06-04
48,경상북도,포항시 남구,구룡포읍,하정리,산48-2임,35,58,4.706,129,32,48.724,토석류,136,2026-06-04
49,경상북도,포항시 남구,구룡포읍,병포리,산1-2임,35,59,3.711,129,33,0.255,산사태,185,2026-06-04
50,경상북도,포항시 남구,구룡포읍,병포리,산1-2임,35,59,4.898,129,32,59.598,산사태,233,2026-06-04
51,경상북도,포항시 남구,구룡포읍,삼정리,산126-2임,36,0,40.656,129,33,14.786,토석류,179,2026-06-04
52,경상북도,포항시 남구,호미곶면,대보리,산52-6임,36,3,49.833,129,33,53.158,산사태,2242,2026-06-04
53,경상북도,포항시 남구,연일읍,달전리,산66-1임,36,1,26.799,129,17,10.500,토석류,4152,2026-06-04
54,경상북도,포항시 남구,연일읍,달전리,산74-5임,36,2,4.599,129,17,13.800,토석류,2767,2026-06-04
55,경상북도,포항시 남구,연일읍,달전리,산8임,36,3,4.199,129,17,22.500,토석류,1249,2026-06-04
56,경상북도,포항시 남구,연일읍,학전리,산96-2임,36,2,44.399,129,17,59.100,토석류,1139,2026-06-04
57,경상북도,포항시 남구,연일읍,자명리,산63-3임,36,0,45.599,129,18,7.500,토석류,2759,2026-06-04
58,경상북도,포항시 남구,연일읍,유강리,산90외 3,35,59,51.899,129,18,7.000,토석류,2227.2,2026-06-04
59,경상북도,포항시 남구,연일읍,자명리,산54-1임,36,0,34.899,129,18,11.900,토석류,1250,2026-06-04
