대피장소명,세부위치명,수용인원,도로명주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
신일초등학교,강당,778,경상북도 김천시 신음3길 42(신음동),36.143577,128.120766,2021,화학사고,054-420-6779,경상북도 김천시 복지환경국 환경위생과,2023-08-18
김천시청 본관,본관,14924,경상북도 김천시 시청1길 1(신음동),36.140017,128.113719,2021,화학사고,054-420-6779,경상북도 김천시 복지환경국 환경위생과,2023-08-18
김천시청 식당동,식당동,1178,경상북도 김천시 시청1길 1(신음동),36.139917,128.113559,2021,화학사고,054-420-6779,경상북도 김천시 복지환경국 환경위생과,2023-08-18
김천평생교육원 강당,강당,1147,경상북도 김천시 공단2길 30-22(대광동),36.1435,128.13713,2021,화학사고,054-420-6779,경상북도 김천시 복지환경국 환경위생과,2023-08-18
김천평생교육원 본관동,본관동 강의실,1929,경상북도 김천시 공단2길 30-22(대광동),36.1433,128.13713,2021,화학사고,054-420-6779,경상북도 김천시 복지환경국 환경위생과,2023-08-18
대신동행정복지센터,본관,1766,경상북도 김천시 신양1길 22(신음동),36.13534099,128.1158918,2021,화학사고,054-420-6779,경상북도 김천시 복지환경국 환경위생과,2023-08-18
김천여자고등학교,체육관,1415,경상북도 김천시 모암사랑10길 9(모암동),36.12638697,128.1233154,2021,화학사고,054-420-6779,경상북도 김천시 복지환경국 환경위생과,2023-08-18
김천예술고등학교 무궁화관,무궁화관,2242,경상북도 김천시 한일길 11-30(교동),36.138008,128.095887,2021,화학사고,054-420-6779,경상북도 김천시 복지환경국 환경위생과,2023-08-18
김천예술고등학교 음악관,음악관,1623,경상북도 김천시 한일길 11-30(교동),36.138008,128.096787,2021,화학사고,054-420-6779,경상북도 김천시 복지환경국 환경위생과,2023-08-18
한일여자중학교,체육관,1184,경상북도 김천시 한일길 11-30(교동),36.13700415,128.0961134,2021,화학사고,054-420-6779,경상북도 김천시 복지환경국 환경위생과,2023-08-18
교1리마을회관,본관,324,경상북도 김천시 지례면 장터길 56-5(교리),35.98728408,128.0295948,2021,화학사고,054-420-6779,경상북도 김천시 복지환경국 환경위생과,2023-08-18
공덕동주민센터,동청사,427,서울특별시 마포구 만리재옛길84 (공덕동),37.5501804,126.9600489,2021,화학사고,02-3153-9262,서울특별시 마포구 환경녹지국 맑은환경과,2023-08-07
도산초등학교,다목적강당,419,울산광역시 남구 번영로54번길 25(야음동),35.53000759,129.3338449,2021,화학사고,052-226-5762,울산광역시 남구 교통환경국 환경관리과,2023-08-16
신정4동주민센터,대회의실,174,울산광역시 남구 수암로64번길 16(신정동),35.52938285,129.3144644,2021,화학사고,052-226-5762,울산광역시 남구 교통환경국 환경관리과,2023-08-16
남구국민체육센터,다목적홀,242,울산광역시 남구 여천로 38(야음동),35.522966,129.338023,2021,화학사고,052-226-5762,울산광역시 남구 교통환경국 환경관리과,2023-08-16
도산노인복지관,강당,169,울산광역시 남구 대암로129번길 4(야음동),35.52985629,129.3299647,2021,화학사고,052-226-5762,울산광역시 남구 교통환경국 환경관리과,2023-08-16
김제시 장애인체육관,체육관,1951,전북특별자치도 김제시 갈공길 32(서암동),35.8051082,126.8712088,2021,화학사고,063-540-3780,전북특별자치도 김제시 복지환경국 환경과,2021-10-15
김제동초등학교,강당,1055,전북특별자치도 김제시 중앙13길 18(신풍동),35.7952922,126.9012613,2021,화학사고,063-540-3780,전북특별자치도 김제시 복지환경국 환경과,2021-10-15
김제시 실내체육관,체육관,3515,전북특별자치도 김제시 도작로 224-98(검산동),35.814536,126.901773,2021,화학사고,063-540-3780,전북특별자치도 김제시 복지환경국 환경과,2021-10-15
김제금구중학교,강당,1150,전북특별자치도 김제시 금구면 금구로 40(금구리),35.7744448,127.0123907,2021,화학사고,063-540-3780,전북특별자치도 김제시 복지환경국 환경과,2021-10-15
갈산초등학교,강당,608,충청남도 홍성군 갈산면 갈산로 135(상촌리),36.602605,126.554466,2021,화학사고,041-630-1456,충청남도 홍성군 지역개발국 환경과,2023-07-28
대구월서초등학교,강당,1122,대구광역시 달서구 월배로39길 46(상인동),35.821526,128.531786,2021,화학사고,053-667-2605,대구광역시 달서구 문화환경국 기후환경과,2022-04-19
달서구 어린이도서관,초등자료실  시청각실,1431,대구광역시 달서구 송현로 45(상인동),35.822506,128.547029,2021,화학사고,053-667-2605,대구광역시 달서구 문화환경국 기후환경과,2022-04-19
대구월곡초등학교,강당,715,대구광역시 달서구 상인로 40(상인동),35.812171,128.549279,2021,화학사고,053-667-2605,대구광역시 달서구 문화환경국 기후환경과,2022-04-19
강진 제1실내체육관,체육시설,3012,전라남도 강진군 군동면 종합운동장길 60(호계리),34.64725913,126.781459,2021,화학사고,061-430-3302,전라남도 강진군 환경과,2021-10-25
강진 제2실내체육관,체육시설,3204,전라남도 강진군 군동면 종합운동장길 60(호계리),34.64724537,126.7826189,2021,화학사고,061-430-3302,전라남도 강진군 환경과,2021-10-25
여주실내체육관,실내체육관,1269,경기도 여주시 영릉로 123(월송동),37.29317661,127.6229592,2021,화학사고,031-880-4021,경기도 여주시 여주도시공사 체육사업1팀,2023-08-07
적성면사무소,회의실,140,충청북도 단양군 적성면 금수산로 957(하리),36.9607492,128.2929602,2023,화학사고,043-420-2663,충청북도 단양군 적성면사무소,2023-08-31
영춘면사무소,회의실,190,충청북도 단양군 영춘면 온달평강3로 9(상리),37.0786655,128.4873787,2023,화학사고,043-420-2663,충청북도 단양군 영춘면사무소,2023-08-31
어상천면사무소,회의실,330,충청북도 단양군 어상천면 어상천로 928(임현리),37.1023286,128.3587912,2023,화학사고,043-420-2663,충청북도 단양군 어상천면사무소,2023-08-31
대기고등학교,체육관,1167,제주특별자치도 제주시 번영로 453-6 (봉개동),33.49250981,126.5932794,2022,화학사고,064-728-3133,제주특별자치도 제주시 청정환경국 환경지도과,2024-01-17
하남시청소년수련관,1~4층,6061,경기도 하남시 조정대로 111 (풍산동),37.55333962,127.1904807,2022,화학사고,031-790-5744,경기도 하남시 안전환경국 환경정책과,2024-05-29
양현초등학교,강당,600,전북특별자치도 전주시 덕진구 만성서로 96 (만성동),35.8468105,127.0742553,2021,화학사고,063-281-2531,전북특별자치도 전주시 복지환경국 환경위생과,2024-05-23
양진초등학교,체육관,3468,서울특별시 광진구 워커힐로 32 (광장동),37.54457517,127.0983114,2023,화학사고,02-450-7804,서울특별시 광진구 안전환경국 환경과,2024-08-19
원광대학교,체육관,11000,전북특별자치도 익산시 익산대로 460(신동),35.96521,126.95726,2022,화학사고,063-859-5437,전북특별자치도 익산시 녹색도시환경국 환경관리과,2024-08-21
이리영등중학교,강당,240,전북특별자치도 익산시 하나로 490(어양동),35.964379,126.981457,2022,화학사고,063-859-5437,전북특별자치도 익산시 녹색도시환경국 환경관리과,2024-08-21
칠서이룡체육관,체육관,557,경남 함안군 칠서면 삼칠로 1315-13 (용성리),35.38800149,128.5035188,2024,화학사고,055-580-3551,경상남도 함안군 칠서면,2024-08-22
가남행복나눔센터,본관,301,경기 여주시 가남읍 설가로 899 (태평리),37.20184273,127.5428003,2024,화학사고,031-887-3835,경기도 여주시 가남읍,2024-08-14
세종대왕면 복지회관,1층 본관,544,경기 여주시 세종대왕면 능서공원길 99 (신지리),37.29709718,127.5838806,2024,화학사고,031-887-3854,경기도 여주시 세종대왕면,2024-08-14
대신면 문화복지센터,2층 강당,215,경기 여주시 대신면 율촌1길 12-9 (율촌리),37.37150692,127.5851581,2024,화학사고,031-887-3933,경기도 여주시 대신면,2024-08-14
