연번,읍면구분,시설구분,시설명,상세시설명,지정일자,상세주소,위도,경도,수용가능면적(제곱미터),수용가능인원(명),데이터기준일
1,봉화읍,경로당,삼계1리생기마경로당,본관,2013-01-01,경상북도 봉화군 봉화읍 신흥길 13,36.90606927,128.728407,99,38,2025-09-02
2,봉화읍,공공시설,봉화국민체육센터,실내체육관,2024-05-13,경상북도 봉화군 봉화읍 1264-0,36.89615628,128.7287727,323,125,2025-09-02
3,봉화읍,공공시설,봉화군민회관,실내체육관,2024-05-13,경상북도 봉화군 봉화읍 내성로4길 6-44,36.88866479,128.7428208,491,188,2025-09-02
4,봉화읍,기타시설,봉화노인복지센터,본관,2017-08-01,경상북도 봉화군 봉화읍 솔안2길 23,36.89420842,128.7267207,1002,385,2025-09-02
5,봉화읍,마을회관,거촌1리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 거수1길 18,36.8906608,128.7675885,99,38,2025-09-02
6,봉화읍,마을회관,거촌2리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 황전길 9,36.87364758,128.7428,99,38,2025-09-02
7,봉화읍,마을회관,내성1리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 내성로4길 20,36.88937546,128.7413965,99,38,2025-09-02
8,봉화읍,마을회관,내성2리 마을회관,본관,2017-01-01,경상북도 봉화군 봉화읍 내성천1길 86,36.89082489,128.7394131,113,43,2025-09-02
9,봉화읍,마을회관,내성3리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 내성로 40-17,36.88625694,128.7416629,99,38,2025-09-02
10,봉화읍,마을회관,내성4리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 꽃동네길 28,36.89003487,128.7348609,99,38,2025-09-02
11,봉화읍,마을회관,도촌1리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 사제길 53,36.88735469,128.6726469,99,38,2025-09-02
12,봉화읍,마을회관,도촌2리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 율리길 71,36.88601819,128.6857597,113,43,2025-09-02
13,봉화읍,마을회관,문단1리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 수안길 4,36.8549805,128.6650142,99,38,2025-09-02
14,봉화읍,마을회관,문단2리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 봉화로 439-1,36.86299164,128.6819082,99,38,2025-09-02
15,봉화읍,마을회관,삼계1리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 문수로 10-25,36.89869002,128.7381097,99,38,2025-09-02
16,봉화읍,마을회관,석평1리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 이산로 1086-7,36.85756198,128.7321464,99,38,2025-09-02
17,봉화읍,마을회관,석평2리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 유록안길 17,36.87655005,128.7303848,99,38,2025-09-02
18,봉화읍,마을회관,석평3리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 한골길 2,36.88289682,128.7149951,99,38,2025-09-02
19,봉화읍,마을회관,유곡1리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 충재길 6-1,36.90317341,128.7458727,99,38,2025-09-02
20,봉화읍,마을회관,유곡2리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 토일길 96,36.90904353,128.7576352,99,38,2025-09-02
21,봉화읍,마을회관,유곡3리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 송생이길 39-3,36.91188919,128.774611,99,38,2025-09-02
22,봉화읍,마을회관,적덕1리 마을회관,본관,2019-06-21,경상북도 봉화군 봉화읍 두릉골길 3,36.87544912,128.6998054,216.39,83,2025-09-02
23,봉화읍,마을회관,적덕2리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 적덕길 164,36.89545009,128.6948574,99,38,2025-09-02
24,봉화읍,마을회관,해저1리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 바래미길 35,36.89465636,128.7133854,99,38,2025-09-02
25,봉화읍,마을회관,해저3리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 안더구길 134,36.9108977,128.7163969,99,38,2025-09-02
26,봉화읍,마을회관,화천리 마을회관,본관,2013-01-01,경상북도 봉화군 봉화읍 번지실길 8,36.90645813,128.6674902,99,38,2025-09-02
27,봉화읍,민간숙박시설,궁전모텔,본관,2024-05-28,경상북도 봉화군 봉화읍 예봉로 2043,36.88309837,128.7386218,448,72,2025-09-02
28,봉화읍,민간숙박시설,봉화모텔,본관,2024-05-28,경상북도 봉화군 봉화읍 내성천2길 67,36.89144351,128.7377635,396,58,2025-09-02
29,봉화읍,학교,내성초등학교,본관,2018-07-20,경상북도 봉화군 봉화읍 교촌1길 37,36.88609299,128.7359573,394,151,2025-09-02
30,봉화읍,학교,봉화중고등학교,본관,2017-08-01,경상북도 봉화군 봉화읍 내성로 138,36.89524348,128.7397245,2543,978,2025-09-02
31,봉화읍,학교,봉화초등학교 교사2동,교사2동,2017-01-01,경상북도 봉화군 봉화읍 내성로7길 3,36.89228925,128.7407121,133,51,2025-09-02
32,물야면,마을회관,오전1리마을회관,본관,2024-09-05,경상북도 봉화군 물야면 죽터길 8,36.99888328,128.7153643,117,45,2025-09-02
33,물야면,학교,물야초등학교,체육관,2017-08-01,경상북도 봉화군 물야면 오록길 25,36.97958182,128.7364414,303,116,2025-09-02
