번호,문자 제목,재난유형,지역,문자전송요청일시,요청부서,문자전송승인일시,승인부서,문자전송완료일시,전송소요시간,문자내용,데이터기준일
1,[기상특보] 호우주의보 발표(출퇴근시간대 통합발령용),기상특보 > 호우 > 주의보 > 발표,"경북(김천시 감호동,김천시 용두동,김천시 모암동,김천시 성내동,김천시 평화동,김천시 남산동,김천시 황금동,김천시 신음동,김천시 교동,김천시 삼락동,김천시 문당동,김천시 다수동,김천시 백옥동,김천시 부곡동,김천시 지좌동,김천시 덕곡동,김천시 대광동,김천시 응명동,김천시 양천동,김천시 율곡동,김천시 아포읍,김천시 농소면,김천시 남면,김천시 개령면,김천시 감문면,김천시 어모면,김천시 봉산면,김천시 대항면,김천시 감천면,김천시 조마면,김천시 구성면,김천시 지례면,김천시 부항면,김천시 대덕면,김천시 증산면)",2026-07-07 08:35,행정안전부,2026-07-07 08:36,행정안전부,2026-07-07 08:36,00:00:03,"오늘 08:35 경북(김천북부,김천남부) 호우주의보 발령. 하천 주변 산책로, 계곡, 급경사지, 농수로 등 위험지역 출입 금지, 하천 범람에 유의. [행정안전부]",2026-07-08
2,김천시 지진 발생 안내,"자연재난 > 지진 > 국내지진 > 내륙 : M2.0이상~3.0미만, 해역: M2.0이상~3.5미만)",경북(김천시),2026-07-06 21:39,경상북도 김천시,2026-07-06 21:40,경상북도 김천시,2026-07-06 21:40,00:00:02,금일 20시 57분경 김천시 북동쪽 13km 지역에서 규모 2.1 지진이 발생하였습니다.안전에 유의하시기 바랍니다. [김천시],2026-07-08
3,자연재난 폭염,자연재난 > 폭염,경북(김천시),2026-07-06 16:37,경상북도 김천시,2026-07-06 16:41,경상북도 김천시,2026-07-06 16:41,00:00:03,"오늘 16:00 김천시 폭염주의보 발효. 야외 활동 자제, 충분히 물을 마시고 그늘에서 휴식을 취하는 등 건강관리에 유의바랍니다. [김천시]",2026-07-08
4,사회재난 사업장 재난(안내정보),사회재난 > 화재 > 사업장 재난(안내정보) > 안내정보,경북(김천시),2026-06-14 20:02,경상북도 김천시,2026-06-14 20:03,경상북도 김천시,2026-06-14 20:03,00:00:02,금일 19:56 김천시 농소면 월곡리 1418 (산불 외) 기타 화재 진화 완료되었습니다[김천시],2026-07-08
5,사회재난 산불(산불발생),사회재난 > 산불 > 발생,경북(김천시),2026-06-14 19:46,경상북도 김천시,2026-06-14 19:47,경상북도 김천시,2026-06-14 19:47,00:00:03,오늘 19:17 김천시 농소면 월곡리 1418 인근 산불 발생. 입산 금지. 인근 주민과 등산객은 안전사고에 주의하세요. [김천시],2026-07-08
6,낙석 안내,자연재난 > 산사태 > 주의단계,경북(김천시),2026-05-28 19:06,경상북도 김천시,2026-05-28 19:07,경상북도 김천시,2026-05-28 19:07,00:00:03,"금일 국도 59호선(지좌동, 감천면 경계 부근) 낙석 발생으로 1차선 통제 중입니다. 인근 차량은 서행 및 안전운전 바랍니다. [김천시]",2026-07-08
7,사회재난 산불(위험예보),사회재난 > 산불 > 위험 예보,경북(김천시),2026-05-10 16:42,경상북도 김천시,2026-05-10 16:43,경상북도 김천시,2026-05-10 16:43,00:00:02,"○우리시 대기건조에 따른 산불발생 위험이 높습니다. ○쓰레기 소각금지, 담뱃불 투기 금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다.[김천시]",2026-07-08
8,사회재난 산불(위험예보),사회재난 > 산불 > 위험 예보,경북(김천시),2026-05-10 09:34,경상북도 김천시,2026-05-10 09:35,경상북도 김천시,2026-05-10 09:35,00:00:03,"우리시 대기 건조에 따른 산불발생 위험이 높습니다. 영농부산물 소각금지, 담뱃불 투기 금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다.[김천시]",2026-07-08
9,사회재난 산불(경계심각),사회재난 > 산불 > 경계 심각,경북(김천시),2026-05-09 16:05,경상북도 김천시,2026-05-09 16:06,경상북도 김천시,2026-05-09 16:06,00:00:03,"○ 우리시 강풍 및 대기건조에 따른 산불발생 위험이 높습니다.○ 쓰레기, 영농부산물 소각금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다. [김천시]",2026-07-08
10,사회재난 산불(경계심각),사회재난 > 산불 > 경계 심각,경북(김천시),2026-05-09 11:37,경상북도 김천시,2026-05-09 11:38,경상북도 김천시,2026-05-09 11:38,00:00:02,"○ 우리시 대기건조에 따른 산불발생 위험이 높습니다.○ 쓰레기, 영농부산물 소각금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다. [김천시]",2026-07-08
11,사회재난 산불(위험예보),사회재난 > 산불 > 위험 예보,경북(김천시),2026-05-08 13:04,경상북도 김천시,2026-05-08 13:05,경상북도 김천시,2026-05-08 13:05,00:00:02,"○우리시 강풍 및 대기건조에 따른 산불발생 위험이 높습니다. ○쓰레기, 영농부산물 소각금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다.[김천시]",2026-07-08
12,사회재난 도로통제,사회재난 > 기타 > 도로통제,"대구(전체),경북(김천시,구미시,칠곡군)",2026-05-07 07:40,한국도로공사,2026-05-07 07:46,행정안전부,2026-05-07 07:46,00:00:02,"금일 07시 트레일러 관련 사고 발생으로 경부고속도로 서울방향 149.1km 칠곡물류부근 1,2차로 통제되어 극심한 정체중이오니 국도우회바랍니다. [한국도로공사]",2026-07-08
13,사회재난 산불 안내정보,사회재난 > 산불 > 안내정보,경북(김천시),2026-05-02 16:15,경상북도 김천시,2026-05-02 16:17,경상북도 김천시,2026-05-02 16:17,00:00:02,"건조한 날씨에 산불이 발생하지 않도록 생활속 실천!! 담뱃불 투기 금지, 불법소각 금지, 입산시 화기류 소지금지 등으로 산불을 예방합시다. [김천시]",2026-07-08
14,건조주의보 발령에 의한 산불예방 안내,사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,칠곡군,예천군)",2026-05-02 09:17,경상북도,2026-05-02 14:02,경상북도,2026-05-02 14:03,00:00:03,"건조주의보 발령으로 인한 산불 발생 위험이 높습니다. 입산 시 화기 사용 금지, 불법 소각 금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다. [경상북도]",2026-07-08
15,사회재난 산불 안내정보,사회재난 > 산불 > 안내정보,경북(김천시),2026-05-02 12:44,경상북도 김천시,2026-05-02 12:48,경상북도 김천시,2026-05-02 12:48,00:00:02,"건조한 날씨로 산불이 발생할 위험이 높습니다. 담뱃불 투기, 불법소각, 입산시 화기소지 금지 등 불씨관리에 각별히 주의바랍니다,.[김천시]",2026-07-08
16,건조주의보 발령에 따른 산불예방 안내_11시,사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,칠곡군,예천군)",2026-05-02 09:15,경상북도,2026-05-02 11:08,경상북도,2026-05-02 11:08,00:00:03,"작은 불씨도 산불로 번질 수 있습니다. 입산시 화기소지 금지, 영농부산물·쓰레기 소각금지, 화목보일러 불씨 소화 확인 등 각별히 주의 바랍니다. [경상북도]",2026-07-08
17,건조주의보에 따른 산불예방 안내(경북도_14시),사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,칠곡군,예천군)",2026-05-01 09:11,경상북도,2026-05-01 14:04,경상북도,2026-05-01 14:04,00:00:04,건조한 날씨로 산불 및 화재위험 급증 ▲산림인접지 소각 시 200만원 이하 과태료 부과 ▲불법소각행위 금지 ▲입산 시 화기물 소지 금지[경상북도],2026-07-08
18,건조주의보에 따른 산불예방 안내(경북도_11시),사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,칠곡군,예천군)",2026-05-01 09:09,경상북도,2026-05-01 11:00,경상북도,2026-05-01 11:00,00:00:02,"지금은 산불 위험이 매우 높은 시기입니다. 논·밭 쓰레기 소각 금지, 입산 시 화기 소지 금지 등 산불 예방에 협조 바랍니다.[경상북도]",2026-07-08
19,산불예방 주의사항 안내,사회재난 > 산불 > 안내정보,"서울(전체),대구(중구,동구,서구,남구,북구,수성구,달서구,달성군),대전(전체),세종(전체),충북(전체),충남(공주시,금산군),경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,칠곡군,예천군),전북(무주군)",2026-05-01 09:52,산림청,2026-05-01 10:00,산림청,2026-05-01 10:00,00:00:03,"○ 건조한 날씨로 산불이 발생할 위험이 높습니다.○ 담뱃불 투기와 불법소각을 금지하고, 입산 시 화기 소지 금지 등 불씨 관리에 각별히 주의 바랍니다.[산림청]",2026-07-08
20,사회재난 산불 안내정보,사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,칠곡군,예천군)",2026-04-30 13:10,경상북도,2026-04-30 14:00,경상북도,2026-04-30 14:00,00:00:03,"건조주의보 발효 중입니다. 대형 산불 예방을 위해 불법 소각 금지, 입산 시 화기 소지 금지, 야외 활동 시 화재 예방에 적극 동참해 주시기 바랍니다.[경상북도]",2026-07-08
21,사회재난 산불 안내정보,사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,칠곡군,예천군)",2026-04-30 10:23,경상북도,2026-04-30 11:00,경상북도,2026-04-30 11:00,00:00:03,"건조한 날씨로 산불 발생 위험이 높습니다. 야외 소각 행위 금지, 담배꽁초 투기 금지, 산림 인접 지역 화기 사용 자제 등 각별히 주의 바랍니다.[경상북도]",2026-07-08
22,사회재난 산불(위험예보),사회재난 > 산불 > 위험 예보,경북(김천시),2026-04-29 14:38,경상북도 김천시,2026-04-29 14:40,경상북도 김천시,2026-04-29 14:40,00:00:02,"대기 건조에 따른 산불발생 위험이 높습니다. 불법소각 금지, 담뱃불 투기 금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다.[김천시]",2026-07-08
23,사회재난 산불 안내정보,사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,칠곡군,예천군)",2026-04-29 14:00,경상북도,2026-04-29 14:00,경상북도,2026-04-29 14:00,00:00:03,"대기가 건조해 작은 불씨도 산불로 번질 수 있습니다. 입산 시 화기 소지 금지, 소각 금지 등 산불 예방에 협조 바랍니다.[경상북도]",2026-07-08
24,사회재난 산불 안내정보,사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,칠곡군,예천군)",2026-04-29 10:11,경상북도,2026-04-29 11:00,경상북도,2026-04-29 11:00,00:00:03,"건조한 날씨로 산불 위험이 높습니다. 담배꽁초 투기 금지, 쓰레기 소각 금지, 입산 시 화기 사용 금지 등 산불 예방에 동참해 주십시오.[경상북도]",2026-07-08
25,사회재난 산불(위험예보),사회재난 > 산불 > 위험 예보,경북(김천시),2026-04-29 10:55,경상북도 김천시,2026-04-29 10:56,경상북도 김천시,2026-04-29 10:56,00:00:03,"○우리시 건조주의보에 따른 산불발생 위험이 매우 높습니다. ○쓰레기 소각금지, 담뱃불 투기 금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다.[김천시]",2026-07-08
26,사회재난 산불(위험예보),사회재난 > 산불 > 위험 예보,경북(김천시),2026-04-28 14:12,경상북도 김천시,2026-04-28 14:14,경상북도 김천시,2026-04-28 14:14,00:00:03,"○우리시 대기건조 및 강풍에 따른 산불발생 위험이 높습니다. ○쓰레기 소각금지, 담뱃불 투기 금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다.[김천시]",2026-07-08
27,사회재난 산불 안내정보,사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,청송군,영양군,칠곡군,예천군,봉화군)",2026-04-28 11:37,경상북도,2026-04-28 14:00,경상북도,2026-04-28 14:00,00:00:02,"오늘은 산불 위험지수가 높습니다. 담배꽁초를 함부로 버리지 말고, 생활쓰레기·영농부산물 소각도 하지 말아 주십시오.[경상북도]",2026-07-08
28,사회재난 산불 안내정보,사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,청송군,영양군,칠곡군,예천군,봉화군)",2026-04-28 10:22,경상북도,2026-04-28 11:00,경상북도,2026-04-28 11:00,00:00:03,"건조한 날씨로 산불 위험이 높습니다. 담배꽁초 투기 금지, 쓰레기 소각 금지, 입산 시 화기 사용 금지 등 산불 예방에 동참해 주십시오.[경상북도]",2026-07-08
29,사회재난 산불(위험예보),사회재난 > 산불 > 위험 예보,경북(김천시),2026-04-28 08:44,경상북도 김천시,2026-04-28 08:46,경상북도 김천시,2026-04-28 08:46,00:00:03,"우리시 건조주의보에 따른 산불발생 위험이 매우 높습니다. 영농부산물 소각금지, 담뱃불 투기 금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다.[김천시]",2026-07-08
30,건조주의보에 따른 산불예방 안내(경북도_14시),사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,청송군,영양군,영덕군,칠곡군,예천군,봉화군,울진군)",2026-04-27 09:18,경상북도,2026-04-27 14:00,경상북도,2026-04-27 14:00,00:00:03,"건조한 날씨로 산불 및 화재위험 급증 ▲산림연접지 논·밭두렁, 영농부산물 등 소각금지 ▲담뱃불 투기 금지 ▲입산시 화기(담뱃불)소지 금지에 유의바랍니다[경상북도]",2026-07-08
31,사회재난 산불(위험예보),사회재난 > 산불 > 위험 예보,경북(김천시),2026-04-27 13:45,경상북도 김천시,2026-04-27 13:47,경상북도 김천시,2026-04-27 13:47,00:00:03,"우리시 대기 건조에 따른 산불발생 위험이 높습니다. 영농부산물 소각금지, 화목보일러 재 처리 주의 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다.[김천시]",2026-07-08
32,건조주의보에 따른 산불예방 안내(경북도_11시),사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,청송군,영양군,영덕군,칠곡군,예천군,봉화군,울진군)",2026-04-27 09:17,경상북도,2026-04-27 11:00,경상북도,2026-04-27 11:00,00:00:07,"지금은 산불 위험이 매우 높은 시기입니다. 논·밭 쓰레기 소각 금지, 입산 시 화기 소지 금지 등 산불 예방에 협조 바랍니다.[경상북도]",2026-07-08
33,사회재난 산불(위험예보),사회재난 > 산불 > 위험 예보,경북(김천시),2026-04-27 09:44,경상북도 김천시,2026-04-27 09:47,경상북도 김천시,2026-04-27 09:47,00:00:03,"○우리시 건조주의보에 따른 산불발생 위험이 매우 높습니다. ○쓰레기 소각금지, 담뱃불 투기 금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다.[김천시]",2026-07-08
34,사회재난 산불(위험예보),사회재난 > 산불 > 위험 예보,경북(김천시),2026-04-26 14:55,경상북도 김천시,2026-04-26 14:57,경상북도 김천시,2026-04-26 14:57,00:00:02,"○우리시 건조주의보에 따른 산불발생 위험이 매우 높습니다. ○쓰레기 소각금지, 담뱃불 투기 금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다.[김천시]",2026-07-08
35,사회재난 산불 안내정보,사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,청송군,영양군,영덕군,칠곡군,예천군,봉화군,울진군)",2026-04-26 14:19,경상북도,2026-04-26 14:19,경상북도,2026-04-26 14:19,00:00:03,"대기가 건조해 작은 불씨도 산불로 번질 수 있습니다. 입산 시 화기 소지 금지, 소각 금지 등 산불 예방에 협조 바랍니다.[경상북도]",2026-07-08
36,사회재난 산불 안내정보,사회재난 > 산불 > 안내정보,경북(김천시),2026-04-26 11:24,경상북도 김천시,2026-04-26 11:26,경상북도 김천시,2026-04-26 11:26,00:00:02,"○우리시 대기건조에 따른 산불발생 위험이 높습니다. ○쓰레기, 영농부산물 소각금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다.[김천시]",2026-07-08
37,사회재난 산불 안내정보,사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,청송군,영양군,영덕군,칠곡군,예천군,봉화군,울진군)",2026-04-26 09:50,경상북도,2026-04-26 11:00,경상북도,2026-04-26 11:00,00:00:03,건조주의보 발령으로 대기가 건조하여 대형 산불이 발생할 가능성이 높습니다. 야외소각 행위 금지와 불씨 관리에 각별히 주의하여 주시기 바랍니다.[경상북도],2026-07-08
38,건조주의보 발령에 따른 산불예방 안내_14시,사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,청송군,영양군,영덕군,칠곡군,예천군,봉화군,울진군)",2026-04-25 10:19,경상북도,2026-04-25 14:00,경상북도,2026-04-25 14:00,00:00:03,건조주의보 발령으로 대기가 건조하여 대형 산불이 발생할 가능성이 높습니다. 야외소각 행위 금지와 불씨 관리에 각별히 주의하여 주시기 바랍니다.[경상북도],2026-07-08
39,건조주의보 발령에 의한 산불예방 안내,사회재난 > 산불 > 안내정보,"경북(김천시,안동시,구미시,영주시,상주시,문경시,의성군,청송군,영양군,영덕군,칠곡군,예천군,봉화군,울진군)",2026-04-25 10:16,경상북도,2026-04-25 11:00,경상북도,2026-04-25 11:00,00:00:03,"건조한 날씨로 산불 및 화재위험 급증 ▲산림연접지 논·밭두렁, 영농부산물 등 소각금지 ▲담뱃불 투기 금지 ▲입산시 화기(담뱃불)소지 금지에 유의바랍니다[경상북도]",2026-07-08
40,사회재난 산불(위험예보),사회재난 > 산불 > 위험 예보,경북(김천시),2026-04-24 14:16,경상북도 김천시,2026-04-24 14:18,경상북도 김천시,2026-04-24 14:18,00:00:02,"○우리시 대기건조에 따른 산불발생 위험이 높습니다. ○쓰레기, 영농부산물 소각금지 등 산불이 발생하지 않도록 주의하여 주시기 바랍니다.[김천시]",2026-07-08
