연번,시군,읍면동,시설종류,시설용도(공공용 시설건물 주용도),민방위대피시설명칭,주소(도로명 주소),주소(지번 주소),대피가능면적(제곱미터),대피 가능인원(명)
1,포항시,연일읍,공공용,주거시설,대림한숲 3차,"포항시 남구 연일읍 유강길10번길 33-4, 37",연일읍 594-3번지,1738,1738
2,포항시,연일읍,공공용,주거시설,대림한숲1차 1P,"포항시 남구 연일읍 유강길9번길 61, 62",연일읍 581-1번지,1653,1653
3,포항시,연일읍,공공용,주거시설,대림한숲1차 3P,"포항시 남구 연일읍 유강길9번길 61, 62",연일읍 581-1번지,13800,13800
4,포항시,연일읍,공공용,주거시설,대림한숲1차 5P,"포항시 남구 연일읍 유강길9번길 61, 62",연일읍 581-1번지,13800,13800
5,포항시,연일읍,공공용,주거시설,대림한숲1차 7P,"포항시 남구 연일읍 유강길9번길 61, 62",연일읍 581-1번지,13800,13800
6,포항시,연일읍,공공용,주거시설,대림한숲1차 9P,"포항시 남구 연일읍 유강길9번길 61, 62",연일읍 581-1번지,13800,13800
7,포항시,장량동,공공용,주거시설,현진에버빌 2단지,"북구 성실로 50(장성동, 현진에버빌2단지아파트)",장성동 1608번지,21560,21560
8,포항시,환여동,공공용,주거시설,해맞이그린빌2단지P1,포항시 북구 환여동 환호로24,환호동 409-1번지,3597,3597
9,포항시,환여동,공공용,주거시설,해맞이그린빌2단지P3,포항시 북구 환여동 환호로24,환호동 296-1,2039,2039
10,포항시,구룡포,공공용,주거시설,해뜨는 마을,포항시 남구 구룡포읍 병포길 124-6,구룡포읍 병포리 122번지,6064,6064
11,포항시,구룡포,공공용,상업시설,여의주타워,포항시 남구 구룡포읍 호미로 225,구룡포읍 962-1번지,2258,2258
12,포항시,연일읍,공공용,주거시설,형산강변타운,포항시 남구 연일읍 연일로 130,연일읍 399번지,1735,1735
13,포항시,연일읍,공공용,상업시설,대협타워,포항시 남구 연일읍 연일로199번길 24,연일읍 8-3번지,216,216
14,포항시,연일읍,공공용,주거시설,대림한숲타운2차(202),포항시 남구 연일읍 유강길9번길 57,연일읍 581번지,7960,7960
15,포항시,연일읍,공공용,주거시설,유강늘푸른마을,포항시 남구 연일읍 유강길9번길 56,연일읍 581-4번지,921,921
16,포항시,연일읍,공공용,주거시설,유강우방(101),포항시 남구 연일읍 유강길 32,연일읍 593-1,2301,2301
17,포항시,연일읍,공공용,주거시설,유강우방타운(102),포항시 남구 연일읍 유강길 32,연일읍 593-1,1093,1093
18,포항시,오천읍,공공용,주거시설,주은리버타운,포항시 남구 오천읍 해병로 283,오천읍 455번지,4231,4231
19,포항시,오천읍,공공용,주거시설,천마타운1차,포항시 남구 오천읍 정몽주로 333,오천읍 1188-242번지,4790,4790
20,포항시,오천읍,공공용,주거시설,용산타운,포항시 남구 오천읍 정몽주로 164,오천읍 313-5번지,1326,1326
21,포항시,효곡동,공공용,주거시설,승리아파트,"포항시 남구 효곡동 지곡로 20, 1동",지곡동 253-6번지,372,372
22,포항시,효곡동,공공용,주거시설,승리아파트,"포항시 남구 효곡동 지곡로 20, 3동",지곡동 253-6번지,372,372
23,포항시,효곡동,공공용,주거시설,낙원아파트,"포항시 남구 효곡동 지곡로 102, 7동",지곡동 110-9번지,492,492
24,포항시,효곡동,공공용,주거시설,낙원아파트,"포항시 남구 효곡동 지곡로 102, 8동",지곡동 110-9번지,492,492
25,포항시,효곡동,공공용,주거시설,낙원아파트,"포항시 남구 효곡동구 지곡로 102, 9동",지곡동 110-9번지,492,492
26,포항시,효곡동,공공용,주거시설,그린빌라,"포항시 남구 효곡동 지곡로 319, 307동",지곡동 640-1번지,552,552
27,포항시,효곡동,공공용,주거시설,그린빌라,"포항시 남구 효곡동 지곡로 319, 316동",지곡동 640-1번지,552,552
28,포항시,효곡동,공공용,주거시설,그린빌라,"포항시 남구 효곡동 지곡로 319, 318동",지곡동 640-1번지,552,552
29,포항시,효곡동,공공용,주거시설,그린빌라,"포항시 남구 효곡동 지곡로 303, 320동",지곡동 640-1번지,552,552
30,포항시,효곡동,공공용,주거시설,그린빌라,"포항시 남구 효곡동 지곡로 303, 332동 ",지곡동 640-1번지,552,552
31,포항시,효곡동,공공용,주거시설,효자웰빙타운에스케이뷰 1차,포항시 남구 효곡동 새천년대로 306,효자동 566번지,12000,12000
32,포항시,효곡동,공공용,주거시설,교수아파트,포항시 남구 효곡동 지곡로 155,지곡동 377-2번지,4021,4021
